datetime,high,low,close
2022/12/26,832,806,818
2022/12/27,830,807,822.5
2022/12/28,838.5,822.5,829
2022/12/29,846,825,837.5
2022/12/30,854,834,848.5
2023/1/3,867.5,849,863
2023/1/4,860.5,842,858
2023/1/5,859.5,836.5,838
2023/1/6,847,830,835.5
2023/1/9,856,819.5,826.5
2023/1/10,834.5,815.5,831.5
2023/1/11,844,827,840
2023/1/12,855.5,838.5,848.5
2023/1/13,862.5,845,860
2023/1/16,883,850.5,861
2023/1/17,849.5,826.5,828.5
2023/1/18,848,829,844
2023/1/19,857.5,834.5,851.5
2023/1/20,858,842,851.5
2023/1/30,863,852.5,861
2023/1/31,890,869,874
2023/2/1,880,865.5,878.5
2023/2/2,881.5,852,858.5
2023/2/3,870.5,839,847
2023/2/6,858,834,854.5
2023/2/7,854,835,841
2023/2/8,850,828.5,835.5
2023/2/9,855,834.5,851.5
2023/2/10,869,849.5,864.5
2023/2/13,867,852.5,863
2023/2/14,863,836,843
2023/2/15,862,841.5,860
2023/2/16,873,860.5,865
2023/2/17,885.5,865,883.5
2023/2/20,893,879,885.5
2023/2/21,917,883,917
2023/2/22,922,911,914
2023/2/23,917.5,907,913.5
2023/2/24,917.5,903.5,916.5
2023/2/27,916,890,893
2023/2/28,906.5,883,887
2023/3/1,894.5,883,889
2023/3/2,910.5,885.5,907
2023/3/3,916.5,905,912
2023/3/6,923.5,902,904.5
2023/3/7,902.5,884.5,902.5
2023/3/8,915,898.5,910.5
2023/3/9,915.5,903.5,911.5
2023/3/10,932.5,897,931.5
2023/3/13,932.5,913,923
2023/3/14,935,918.5,932.5
2023/3/15,936,920,932
2023/3/16,935,910.5,918
2023/3/17,924,889,905
2023/3/20,921,905,911.5
2023/3/21,914.5,877.5,881.5
2023/3/22,894,872,880
2023/3/23,885,857.5,873.5
2023/3/24,876.5,848,852.5
2023/3/27,871.5,844,857.5
2023/3/28,879,858,870.5
2023/3/29,895,870.5,891.5
2023/3/30,898,882.5,895
2023/3/31,914.5,888.5,909
2023/4/3,914,903,903.5
2023/4/4,909.5,889,895
2023/4/6,895,873.5,882
2023/4/7,803.5,782,786
2023/4/10,802,786,794
2023/4/11,798.5,774,780
2023/4/12,803,773.5,792
2023/4/13,800,780.5,783
2023/4/14,785,763.5,778.5
2023/4/17,788,760,762
2023/4/18,786,762,783.5
2023/4/19,794.5,779.5,788.5
2023/4/20,791.5,765.5,771
2023/4/21,773.5,746.5,747
2023/4/24,748.5,721,723.5
2023/4/25,727,713.5,720
2023/4/26,728.5,698,706
2023/4/27,728.5,706,726
2023/4/28,728,706,720
2023/5/4,723,711,714.5
2023/5/5,714,681,681.5
2023/5/8,712,675.5,711
2023/5/9,727.5,694.5,724.5
2023/5/10,726.5,714,723
2023/5/11,733,707,707.5
2023/5/12,716,685.5,695
2023/5/15,723.5,690.5,720
2023/5/16,733.5,708,727
2023/5/17,732.5,718.5,723
2023/5/18,752.5,721,747.5
2023/5/19,751,732,734.5
2023/5/22,745,724.5,733
2023/5/23,734,713,719.5
2023/5/24,727,696.5,705
2023/5/25,705.5,676.5,683.5
2023/5/26,695,665.5,674.5
2023/5/29,714.5,671,712
2023/5/30,722.5,701,717
2023/5/31,724,696,697
2023/6/1,722,693,719.5
2023/6/2,742.5,714.5,736.5
2023/6/5,763.5,732,758.5
2023/6/6,772,753,770.5
2023/6/7,782.5,762.5,771
2023/6/8,789,762.5,788.5
2023/6/9,803,781.5,803
2023/6/12,811,791.5,797.5
2023/6/13,797,781,790.5
2023/6/14,808.5,788.5,804
2023/6/15,820.5,797.5,817.5
2023/6/16,818,802,804
2023/6/19,825,802.5,823.5
