f1,f2,f3,annual_return,total_return,win_rate,max_drawdown
0.4,0.1,0.1,31.26,69.52,68.09,15.36
0.4,0.1,0.2,31.22,69.42,68.09,15.38
0.4,0.1,0.3,31.22,69.42,68.09,15.38
0.5,0.3,0.1,30.07,66.56,71.11,12.17
0.5,0.3,0.2,30.03,66.46,71.11,12.18
0.4,0.1,0.4,29.75,65.75,67.74,15.9
0.5,0.3,0.4,28.9,63.66,70.79,12.39
0.5,0.3,0.3,28.9,63.66,70.79,12.39
0.4,0.2,0.1,28.26,62.1,64.81,13.51
0.4,0.2,0.2,28.22,62.0,64.81,13.52
0.4,0.2,0.3,28.22,62.0,64.81,13.52
0.3,0.3,0.1,27.63,60.56,65.79,10.66
0.3,0.3,0.3,27.59,60.46,65.79,10.67
0.3,0.3,0.2,27.5,60.22,65.79,10.7
0.4,0.3,0.1,27.32,59.8,66.94,12.07
0.4,0.3,0.3,27.28,59.7,66.94,12.08
0.4,0.3,0.2,27.28,59.7,66.94,12.08
0.3,0.3,0.4,26.69,58.26,65.56,10.89
0.4,0.2,0.4,26.69,58.27,64.49,13.88
0.4,0.3,0.4,26.38,57.5,66.67,12.26
0.3,0.2,0.1,25.98,56.55,65.0,18.11
0.7,0.2,0.1,25.97,56.51,68.0,18.19
0.3,0.2,0.3,25.94,56.45,65.0,18.12
0.6,0.2,0.3,25.89,56.33,67.8,15.41
0.6,0.2,0.4,25.89,56.33,67.8,15.41
0.3,0.2,0.2,25.85,56.22,65.0,18.15
0.7,0.2,0.4,25.84,56.21,67.35,18.23
0.7,0.2,0.3,25.84,56.21,67.35,18.23
0.7,0.2,0.2,25.84,56.21,67.35,18.23
0.6,0.2,0.1,25.36,55.06,67.24,15.6
0.6,0.2,0.2,25.36,55.06,67.24,15.6
0.6,0.3,0.4,25.01,54.2,71.64,12.99
0.6,0.3,0.3,25.01,54.2,71.64,12.99
0.6,0.3,0.1,24.48,52.94,71.21,13.15
0.6,0.3,0.2,24.48,52.94,71.21,13.15
0.3,0.2,0.4,24.38,52.72,64.75,18.62
0.3,0.1,0.1,24.24,52.37,66.39,15.85
0.3,0.1,0.3,24.2,52.27,66.39,15.86
0.3,0.1,0.2,24.1,52.03,66.39,15.89
0.5,0.4,0.1,23.32,50.2,68.18,14.04
0.5,0.4,0.2,23.28,50.1,68.18,14.05
0.5,0.4,0.3,23.27,50.07,68.81,14.05
0.5,0.4,0.4,23.27,50.07,68.81,14.05
0.3,0.1,0.4,22.65,48.6,66.12,16.31
0.8,0.2,0.1,18.15,38.22,64.29,21.4
0.8,0.2,0.2,18.02,37.92,63.41,21.45
0.8,0.2,0.4,18.02,37.92,63.41,21.45
0.8,0.2,0.3,18.02,37.92,63.41,21.45
0.7,0.3,0.1,16.92,35.44,65.52,17.69
0.7,0.3,0.2,16.75,35.04,64.91,17.74
0.7,0.3,0.4,16.75,35.04,64.91,17.74
0.7,0.3,0.3,16.75,35.04,64.91,17.74
0.3,0.4,0.4,16.53,34.55,63.4,14.98
0.5,0.2,0.1,16.43,34.33,68.42,21.86
0.3,0.4,0.1,16.39,34.25,62.99,15.01
0.5,0.2,0.2,16.38,34.23,68.42,21.88
0.3,0.4,0.3,16.35,34.15,62.99,15.02
0.7,0.1,0.1,16.28,34.0,57.5,18.32
0.3,0.4,0.2,16.24,33.92,62.99,15.05
0.7,0.1,0.4,16.15,33.7,56.41,18.35
0.7,0.1,0.3,16.15,33.7,56.41,18.35
0.7,0.1,0.2,16.15,33.7,56.41,18.35
0.6,0.1,0.4,15.81,32.96,54.9,16.0
0.6,0.1,0.3,15.81,32.96,54.9,16.0
0.6,0.1,0.1,15.38,32.0,54.0,16.15
0.6,0.1,0.2,15.38,32.0,54.0,16.15
0.5,0.2,0.4,14.7,30.5,68.0,22.65
0.5,0.2,0.3,14.7,30.5,68.0,22.65
0.2,0.1,0.1,13.6,28.07,63.51,19.9
0.2,0.1,0.2,13.6,28.07,63.51,19.9
0.2,0.1,0.4,13.55,27.97,63.51,19.91
0.2,0.1,0.3,13.55,27.97,63.51,19.91
0.4,0.4,0.4,13.11,27.0,63.16,15.24
0.4,0.4,0.1,12.97,26.7,62.69,15.27
0.4,0.4,0.2,12.92,26.6,62.69,15.28
0.4,0.4,0.3,12.92,26.6,62.69,15.28
0.7,0.4,0.1,12.39,25.45,64.52,19.52
0.5,0.1,0.1,11.46,23.43,61.76,23.72
0.5,0.1,0.2,11.41,23.33,61.76,23.74
0.6,0.4,0.2,11.4,23.31,65.38,16.97
0.6,0.4,0.1,11.4,23.31,65.38,16.97
0.2,0.2,0.1,11.18,22.84,62.18,19.35
0.2,0.2,0.2,11.18,22.84,62.18,19.35
0.2,0.2,0.3,11.13,22.74,62.18,19.37
0.2,0.2,0.4,11.13,22.74,62.18,19.37
0.7,0.4,0.2,10.8,22.02,64.41,20.08
0.7,0.4,0.3,10.8,22.02,64.41,20.08
0.7,0.4,0.4,10.8,22.02,64.41,20.08
0.6,0.4,0.4,9.79,19.88,65.33,17.45
0.6,0.4,0.3,9.79,19.88,65.33,17.45
0.5,0.1,0.4,9.69,19.66,61.19,24.56
0.5,0.1,0.3,9.69,19.66,61.19,24.56
0.8,0.4,0.1,9.63,19.52,64.81,21.03
0.2,0.3,0.2,8.51,17.18,61.11,20.84
0.2,0.3,0.1,8.51,17.18,61.11,20.84
0.2,0.3,0.4,8.47,17.08,61.11,20.85
0.2,0.3,0.3,8.47,17.08,61.11,20.85
0.2,0.4,0.1,8.34,16.82,61.59,20.62
0.2,0.4,0.2,8.34,16.82,61.59,20.62
0.2,0.4,0.3,8.3,16.72,61.59,20.64
0.2,0.4,0.4,8.3,16.72,61.59,20.64
0.8,0.3,0.1,7.33,14.72,62.5,21.28
0.8,0.3,0.2,7.14,14.32,61.7,21.35
0.8,0.3,0.3,7.14,14.32,61.7,21.35
0.8,0.3,0.4,7.14,14.32,61.7,21.35
0.8,0.4,0.2,6.74,13.49,62.75,22.12
0.8,0.4,0.3,6.74,13.49,62.75,22.12
0.8,0.4,0.4,6.74,13.49,62.75,22.12
0.8,0.1,0.1,5.01,9.95,50.0,22.69
0.8,0.1,0.2,4.86,9.65,48.48,22.75
0.8,0.1,0.3,4.86,9.65,48.48,22.75
0.8,0.1,0.4,4.86,9.65,48.48,22.75
