datetime,true_step_1,true_step_2,true_step_3,true_step_4,true_step_5,true_step_6,true_step_7,true_step_8,true_step_9,true_step_10,true_step_11,true_step_12,true_avg_1hr
2024-08-14 13:40:00,711.0,711.5,710.5,712.5,714.5,712.5,713.0,712.5,711.0,710.5,708.5,708.0,711.3333333333334
2024-08-14 13:45:00,711.5,710.5,712.5,714.5,712.5,713.0,712.5,711.0,710.5,708.5,708.0,707.5,711.0416666666666
2024-08-14 13:50:00,710.5,712.5,714.5,712.5,713.0,712.5,711.0,710.5,708.5,708.0,707.5,709.0,710.8333333333334
2024-08-14 13:55:00,712.5,714.5,712.5,713.0,712.5,711.0,710.5,708.5,708.0,707.5,709.0,712.0,710.9583333333334
2024-08-14 14:00:00,714.5,712.5,713.0,712.5,711.0,710.5,708.5,708.0,707.5,709.0,712.0,713.0,711.0
2024-08-14 14:05:00,712.5,713.0,712.5,711.0,710.5,708.5,708.0,707.5,709.0,712.0,713.0,713.5,710.9166666666666
2024-08-14 14:10:00,713.0,712.5,711.0,710.5,708.5,708.0,707.5,709.0,712.0,713.0,713.5,715.0,711.125
2024-08-14 14:15:00,712.5,711.0,710.5,708.5,708.0,707.5,709.0,712.0,713.0,713.5,715.0,714.5,711.25
2024-08-14 14:20:00,711.0,710.5,708.5,708.0,707.5,709.0,712.0,713.0,713.5,715.0,714.5,712.5,711.25
2024-08-14 14:25:00,710.5,708.5,708.0,707.5,709.0,712.0,713.0,713.5,715.0,714.5,712.5,709.0,711.0833333333334
2024-08-14 14:30:00,708.5,708.0,707.5,709.0,712.0,713.0,713.5,715.0,714.5,712.5,709.0,709.5,711.0
2024-08-14 14:35:00,708.0,707.5,709.0,712.0,713.0,713.5,715.0,714.5,712.5,709.0,709.5,710.0,711.125
2024-08-14 14:40:00,707.5,709.0,712.0,713.0,713.5,715.0,714.5,712.5,709.0,709.5,710.0,709.5,711.25
2024-08-14 14:45:00,709.0,712.0,713.0,713.5,715.0,714.5,712.5,709.0,709.5,710.0,709.5,712.5,711.6666666666666
2024-08-14 14:50:00,712.0,713.0,713.5,715.0,714.5,712.5,709.0,709.5,710.0,709.5,712.5,713.0,712.0
2024-08-14 21:00:00,713.0,713.5,715.0,714.5,712.5,709.0,709.5,710.0,709.5,712.5,713.0,711.5,711.9583333333334
2024-08-14 21:05:00,713.5,715.0,714.5,712.5,709.0,709.5,710.0,709.5,712.5,713.0,711.5,711.5,711.8333333333334
2024-08-14 21:10:00,715.0,714.5,712.5,709.0,709.5,710.0,709.5,712.5,713.0,711.5,711.5,712.0,711.7083333333334
2024-08-14 21:15:00,714.5,712.5,709.0,709.5,710.0,709.5,712.5,713.0,711.5,711.5,712.0,713.5,711.5833333333334
2024-08-14 21:20:00,712.5,709.0,709.5,710.0,709.5,712.5,713.0,711.5,711.5,712.0,713.5,713.5,711.5
2024-08-14 21:25:00,709.0,709.5,710.0,709.5,712.5,713.0,711.5,711.5,712.0,713.5,713.5,713.0,711.5416666666666
2024-08-14 21:30:00,709.5,710.0,709.5,712.5,713.0,711.5,711.5,712.0,713.5,713.5,713.0,713.0,711.875
2024-08-14 21:35:00,710.0,709.5,712.5,713.0,711.5,711.5,712.0,713.5,713.5,713.0,713.0,712.5,712.125
2024-08-14 21:40:00,709.5,712.5,713.0,711.5,711.5,712.0,713.5,713.5,713.0,713.0,712.5,713.5,712.4166666666666
2024-08-14 21:45:00,712.5,713.0,711.5,711.5,712.0,713.5,713.5,713.0,713.0,712.5,713.5,713.5,712.75
2024-08-14 21:50:00,713.0,711.5,711.5,712.0,713.5,713.5,713.0,713.0,712.5,713.5,713.5,713.0,712.7916666666666
2024-08-14 21:55:00,711.5,711.5,712.0,713.5,713.5,713.0,713.0,712.5,713.5,713.5,713.0,712.5,712.75
2024-08-14 22:00:00,711.5,712.0,713.5,713.5,713.0,713.0,712.5,713.5,713.5,713.0,712.5,712.5,712.8333333333334
2024-08-14 22:05:00,712.0,713.5,713.5,713.0,713.0,712.5,713.5,713.5,713.0,712.5,712.5,712.5,712.9166666666666
2024-08-14 22:10:00,713.5,713.5,713.0,713.0,712.5,713.5,713.5,713.0,712.5,712.5,712.5,709.0,712.6666666666666
2024-08-14 22:15:00,713.5,713.0,713.0,712.5,713.5,713.5,713.0,712.5,712.5,712.5,709.0,707.0,712.125
2024-08-14 22:20:00,713.0,713.0,712.5,713.5,713.5,713.0,712.5,712.5,712.5,709.0,707.0,704.0,711.3333333333334
2024-08-14 22:25:00,713.0,712.5,713.5,713.5,713.0,712.5,712.5,712.5,709.0,707.0,704.0,702.5,710.4583333333334
2024-08-14 22:30:00,712.5,713.5,713.5,713.0,712.5,712.5,712.5,709.0,707.0,704.0,702.5,703.0,709.625
2024-08-14 22:35:00,713.5,713.5,713.0,712.5,712.5,712.5,709.0,707.0,704.0,702.5,703.0,701.5,708.7083333333334
2024-08-14 22:40:00,713.5,713.0,712.5,712.5,712.5,709.0,707.0,704.0,702.5,703.0,701.5,700.5,707.625
