datetime,true_step_1,true_step_2,true_step_3,true_step_4,true_step_5,true_step_6,true_step_7,true_step_8,true_step_9,true_step_10,true_step_11,true_step_12,true_avg_1hr
2024-08-14 13:40:00,1838.0,1835.0,1832.0,1834.5,1840.0,1836.0,1837.5,1836.0,1833.0,1831.0,1830.5,1826.0,1834.125
2024-08-14 13:45:00,1835.0,1832.0,1834.5,1840.0,1836.0,1837.5,1836.0,1833.0,1831.0,1830.5,1826.0,1824.5,1833.0
2024-08-14 13:50:00,1832.0,1834.5,1840.0,1836.0,1837.5,1836.0,1833.0,1831.0,1830.5,1826.0,1824.5,1824.5,1832.125
2024-08-14 13:55:00,1834.5,1840.0,1836.0,1837.5,1836.0,1833.0,1831.0,1830.5,1826.0,1824.5,1824.5,1835.0,1832.375
2024-08-14 14:00:00,1840.0,1836.0,1837.5,1836.0,1833.0,1831.0,1830.5,1826.0,1824.5,1824.5,1835.0,1865.0,1834.9166666666667
2024-08-14 14:05:00,1836.0,1837.5,1836.0,1833.0,1831.0,1830.5,1826.0,1824.5,1824.5,1835.0,1865.0,1876.5,1837.9583333333333
2024-08-14 14:10:00,1837.5,1836.0,1833.0,1831.0,1830.5,1826.0,1824.5,1824.5,1835.0,1865.0,1876.5,1880.5,1841.6666666666667
2024-08-14 14:15:00,1836.0,1833.0,1831.0,1830.5,1826.0,1824.5,1824.5,1835.0,1865.0,1876.5,1880.5,1877.5,1845.0
2024-08-14 14:20:00,1833.0,1831.0,1830.5,1826.0,1824.5,1824.5,1835.0,1865.0,1876.5,1880.5,1877.5,1871.5,1847.9583333333333
2024-08-14 14:25:00,1831.0,1830.5,1826.0,1824.5,1824.5,1835.0,1865.0,1876.5,1880.5,1877.5,1871.5,1864.0,1850.5416666666667
2024-08-14 14:30:00,1830.5,1826.0,1824.5,1824.5,1835.0,1865.0,1876.5,1880.5,1877.5,1871.5,1864.0,1861.5,1853.0833333333333
2024-08-14 14:35:00,1826.0,1824.5,1824.5,1835.0,1865.0,1876.5,1880.5,1877.5,1871.5,1864.0,1861.5,1859.0,1855.4583333333333
2024-08-14 14:40:00,1824.5,1824.5,1835.0,1865.0,1876.5,1880.5,1877.5,1871.5,1864.0,1861.5,1859.0,1864.0,1858.625
2024-08-14 14:45:00,1824.5,1835.0,1865.0,1876.5,1880.5,1877.5,1871.5,1864.0,1861.5,1859.0,1864.0,1866.5,1862.125
2024-08-14 14:50:00,1835.0,1865.0,1876.5,1880.5,1877.5,1871.5,1864.0,1861.5,1859.0,1864.0,1866.5,1866.5,1865.625
2024-08-14 21:00:00,1865.0,1876.5,1880.5,1877.5,1871.5,1864.0,1861.5,1859.0,1864.0,1866.5,1866.5,1866.0,1868.2083333333333
2024-08-14 21:05:00,1876.5,1880.5,1877.5,1871.5,1864.0,1861.5,1859.0,1864.0,1866.5,1866.5,1866.0,1865.5,1868.25
2024-08-14 21:10:00,1880.5,1877.5,1871.5,1864.0,1861.5,1859.0,1864.0,1866.5,1866.5,1866.0,1865.5,1864.5,1867.25
2024-08-14 21:15:00,1877.5,1871.5,1864.0,1861.5,1859.0,1864.0,1866.5,1866.5,1866.0,1865.5,1864.5,1868.0,1866.2083333333333
2024-08-14 21:20:00,1871.5,1864.0,1861.5,1859.0,1864.0,1866.5,1866.5,1866.0,1865.5,1864.5,1868.0,1869.0,1865.5
2024-08-14 21:25:00,1864.0,1861.5,1859.0,1864.0,1866.5,1866.5,1866.0,1865.5,1864.5,1868.0,1869.0,1868.0,1865.2083333333333
2024-08-14 21:30:00,1861.5,1859.0,1864.0,1866.5,1866.5,1866.0,1865.5,1864.5,1868.0,1869.0,1868.0,1868.5,1865.5833333333333
2024-08-14 21:35:00,1859.0,1864.0,1866.5,1866.5,1866.0,1865.5,1864.5,1868.0,1869.0,1868.0,1868.5,1866.0,1865.9583333333333
2024-08-14 21:40:00,1864.0,1866.5,1866.5,1866.0,1865.5,1864.5,1868.0,1869.0,1868.0,1868.5,1866.0,1866.0,1866.5416666666667
2024-08-14 21:45:00,1866.5,1866.5,1866.0,1865.5,1864.5,1868.0,1869.0,1868.0,1868.5,1866.0,1866.0,1866.0,1866.7083333333333
2024-08-14 21:50:00,1866.5,1866.0,1865.5,1864.5,1868.0,1869.0,1868.0,1868.5,1866.0,1866.0,1866.0,1865.5,1866.625
2024-08-14 21:55:00,1866.0,1865.5,1864.5,1868.0,1869.0,1868.0,1868.5,1866.0,1866.0,1866.0,1865.5,1864.0,1866.4166666666667
2024-08-14 22:00:00,1865.5,1864.5,1868.0,1869.0,1868.0,1868.5,1866.0,1866.0,1866.0,1865.5,1864.0,1865.0,1866.3333333333333
2024-08-14 22:05:00,1864.5,1868.0,1869.0,1868.0,1868.5,1866.0,1866.0,1866.0,1865.5,1864.0,1865.0,1864.0,1866.2083333333333
2024-08-14 22:10:00,1868.0,1869.0,1868.0,1868.5,1866.0,1866.0,1866.0,1865.5,1864.0,1865.0,1864.0,1864.0,1866.1666666666667
2024-08-14 22:15:00,1869.0,1868.0,1868.5,1866.0,1866.0,1866.0,1865.5,1864.0,1865.0,1864.0,1864.0,1862.0,1865.6666666666667
2024-08-14 22:20:00,1868.0,1868.5,1866.0,1866.0,1866.0,1865.5,1864.0,1865.0,1864.0,1864.0,1862.0,1857.0,1864.6666666666667
2024-08-14 22:25:00,1868.5,1866.0,1866.0,1866.0,1865.5,1864.0,1865.0,1864.0,1864.0,1862.0,1857.0,1856.5,1863.7083333333333
2024-08-14 22:30:00,1866.0,1866.0,1866.0,1865.5,1864.0,1865.0,1864.0,1864.0,1862.0,1857.0,1856.5,1854.5,1862.5416666666667
2024-08-14 22:35:00,1866.0,1866.0,1865.5,1864.0,1865.0,1864.0,1864.0,1862.0,1857.0,1856.5,1854.5,1852.0,1861.375
2024-08-14 22:40:00,1866.0,1865.5,1864.0,1865.0,1864.0,1864.0,1862.0,1857.0,1856.5,1854.5,1852.0,1855.5,1860.5
2024-08-14 22:45:00,1865.5,1864.0,1865.0,1864.0,1864.0,1862.0,1857.0,1856.5,1854.5,1852.0,1855.5,1855.5,1859.625
2024-08-14 22:50:00,1864.0,1865.0,1864.0,1864.0,1862.0,1857.0,1856.5,1854.5,1852.0,1855.5,1855.5,1862.0,1859.3333333333333
2024-08-14 22:55:00,1865.0,1864.0,1864.0,1862.0,1857.0,1856.5,1854.5,1852.0,1855.5,1855.5,1862.0,1867.5,1859.625
2024-08-14 23:00:00,1864.0,1864.0,1862.0,1857.0,1856.5,1854.5,1852.0,1855.5,1855.5,1862.0,1867.5,1866.5,1859.75
2024-08-15 09:00:00,1864.0,1862.0,1857.0,1856.5,1854.5,1852.0,1855.5,1855.5,1862.0,1867.5,1866.5,1874.5,1860.625
2024-08-15 09:05:00,1862.0,1857.0,1856.5,1854.5,1852.0,1855.5,1855.5,1862.0,1867.5,1866.5,1874.5,1870.5,1861.1666666666667
2024-08-15 09:10:00,1857.0,1856.5,1854.5,1852.0,1855.5,1855.5,1862.0,1867.5,1866.5,1874.5,1870.5,1872.5,1862.0416666666667
2024-08-15 09:15:00,1856.5,1854.5,1852.0,1855.5,1855.5,1862.0,1867.5,1866.5,1874.5,1870.5,1872.5,1888.5,1864.6666666666667
2024-08-15 09:20:00,1854.5,1852.0,1855.5,1855.5,1862.0,1867.5,1866.5,1874.5,1870.5,1872.5,1888.5,1879.0,1866.5416666666667
2024-08-15 09:25:00,1852.0,1855.5,1855.5,1862.0,1867.5,1866.5,1874.5,1870.5,1872.5,1888.5,1879.0,1875.5,1868.2916666666667
2024-08-15 09:30:00,1855.5,1855.5,1862.0,1867.5,1866.5,1874.5,1870.5,1872.5,1888.5,1879.0,1875.5,1872.5,1870.0
2024-08-15 09:35:00,1855.5,1862.0,1867.5,1866.5,1874.5,1870.5,1872.5,1888.5,1879.0,1875.5,1872.5,1868.0,1871.0416666666667
2024-08-15 09:40:00,1862.0,1867.5,1866.5,1874.5,1870.5,1872.5,1888.5,1879.0,1875.5,1872.5,1868.0,1868.5,1872.125
2024-08-15 09:45:00,1867.5,1866.5,1874.5,1870.5,1872.5,1888.5,1879.0,1875.5,1872.5,1868.0,1868.5,1870.5,1872.8333333333333
2024-08-15 09:50:00,1866.5,1874.5,1870.5,1872.5,1888.5,1879.0,1875.5,1872.5,1868.0,1868.5,1870.5,1868.5,1872.9166666666667
2024-08-15 09:55:00,1874.5,1870.5,1872.5,1888.5,1879.0,1875.5,1872.5,1868.0,1868.5,1870.5,1868.5,1867.0,1872.9583333333333
2024-08-15 10:00:00,1870.5,1872.5,1888.5,1879.0,1875.5,1872.5,1868.0,1868.5,1870.5,1868.5,1867.0,1867.5,1872.375
2024-08-15 10:05:00,1872.5,1888.5,1879.0,1875.5,1872.5,1868.0,1868.5,1870.5,1868.5,1867.0,1867.5,1859.5,1871.4583333333333
2024-08-15 10:30:00,1888.5,1879.0,1875.5,1872.5,1868.0,1868.5,1870.5,1868.5,1867.0,1867.5,1859.5,1852.0,1869.75
2024-08-15 10:35:00,1879.0,1875.5,1872.5,1868.0,1868.5,1870.5,1868.5,1867.0,1867.5,1859.5,1852.0,1851.0,1866.625
2024-08-15 10:40:00,1875.5,1872.5,1868.0,1868.5,1870.5,1868.5,1867.0,1867.5,1859.5,1852.0,1851.0,1851.5,1864.3333333333333
2024-08-15 10:45:00,1872.5,1868.0,1868.5,1870.5,1868.5,1867.0,1867.5,1859.5,1852.0,1851.0,1851.5,1857.0,1862.7916666666667
2024-08-15 10:50:00,1868.0,1868.5,1870.5,1868.5,1867.0,1867.5,1859.5,1852.0,1851.0,1851.5,1857.0,1857.0,1861.5
