f1,f2,f3,annual_return,total_return,win_rate,max_drawdown
0.8,0.4,0.1,12.5,25.68,63.04,24.21
0.8,0.4,0.2,10.64,21.67,62.79,25.04
0.8,0.4,0.4,7.93,15.96,60.98,26.31
0.8,0.4,0.3,7.93,15.96,60.98,26.31
0.8,0.3,0.2,5.38,10.7,57.58,28.51
0.6,0.4,0.1,5.29,10.52,61.8,37.23
0.6,0.4,0.2,4.59,9.1,63.53,37.62
0.8,0.3,0.1,4.54,9.0,55.88,28.89
0.6,0.4,0.3,4.32,8.55,62.35,37.77
0.6,0.4,0.4,4.15,8.22,62.35,37.86
0.8,0.3,0.4,2.54,4.99,58.06,29.84
0.8,0.3,0.3,2.54,4.99,58.06,29.84
0.8,0.2,0.2,-3.71,-7.07,56.52,29.0
0.8,0.2,0.3,-4.47,-8.5,57.14,29.34
0.8,0.2,0.4,-4.47,-8.5,57.14,29.34
0.8,0.2,0.1,-4.92,-9.33,50.0,29.54
0.7,0.4,0.1,-5.12,-9.69,61.9,44.36
0.7,0.4,0.2,-6.19,-11.66,62.71,45.03
0.7,0.4,0.3,-6.43,-12.1,62.71,45.18
0.6,0.3,0.2,-7.77,-14.53,59.15,47.38
0.6,0.3,0.3,-8.08,-15.08,57.75,47.6
0.6,0.3,0.4,-8.26,-15.41,57.75,47.73
0.5,0.4,0.2,-8.68,-16.16,60.95,50.03
0.5,0.4,0.1,-8.84,-16.44,59.81,50.15
0.7,0.4,0.4,-9.61,-17.81,61.4,47.24
0.5,0.4,0.3,-9.67,-17.92,60.19,50.83
0.5,0.4,0.4,-9.96,-18.41,60.19,51.06
0.6,0.3,0.1,-10.19,-18.82,56.16,49.13
0.8,0.1,0.3,-12.47,-22.78,36.84,41.08
0.8,0.1,0.4,-12.47,-22.78,36.84,41.08
0.7,0.3,0.2,-13.16,-23.95,55.1,50.84
0.7,0.3,0.3,-13.42,-24.39,55.1,51.03
0.7,0.3,0.1,-15.39,-27.69,52.94,52.45
0.6,0.2,0.2,-16.0,-28.71,55.32,38.33
