f1,f2,f3,annual_return,total_return,win_rate,max_drawdown
0.8,0.4,0.4,13.89,28.71,67.35,12.39
0.8,0.4,0.1,13.89,28.71,67.35,12.39
0.8,0.4,0.2,13.89,28.71,67.35,12.39
0.8,0.4,0.3,13.89,28.71,67.35,12.39
0.8,0.2,0.1,11.7,23.95,56.76,10.91
0.8,0.2,0.2,11.7,23.95,56.76,10.91
0.8,0.2,0.3,11.7,23.95,56.76,10.91
0.8,0.2,0.4,11.7,23.95,56.76,10.91
0.8,0.3,0.2,10.61,21.61,65.85,12.65
0.8,0.3,0.1,10.61,21.61,65.85,12.65
0.8,0.3,0.3,10.61,21.61,65.85,12.65
0.8,0.3,0.4,10.61,21.61,65.85,12.65
0.2,0.4,0.3,10.15,20.63,62.43,9.85
0.2,0.4,0.2,10.14,20.62,62.43,9.85
0.2,0.4,0.1,9.91,20.13,63.01,9.89
0.5,0.1,0.1,9.6,19.47,59.32,15.26
0.5,0.1,0.2,9.6,19.47,59.32,15.26
0.5,0.1,0.3,9.6,19.47,59.32,15.26
0.5,0.1,0.4,9.6,19.47,59.32,15.26
0.2,0.4,0.4,9.01,18.22,62.79,10.04
0.7,0.2,0.3,8.7,17.58,62.5,16.38
0.7,0.2,0.2,8.7,17.58,62.5,16.38
0.7,0.2,0.1,8.7,17.58,62.5,16.38
0.7,0.2,0.4,8.7,17.58,62.5,16.38
0.4,0.4,0.1,7.81,15.71,58.54,14.24
0.6,0.1,0.1,7.6,15.28,53.33,15.03
0.6,0.1,0.4,7.6,15.28,53.33,15.03
0.6,0.1,0.2,7.6,15.28,53.33,15.03
0.6,0.1,0.3,7.6,15.28,53.33,15.03
0.6,0.2,0.4,6.98,14.0,59.62,22.63
0.6,0.2,0.3,6.98,14.0,59.62,22.63
0.6,0.2,0.2,6.98,14.0,59.62,22.63
0.6,0.2,0.1,6.98,14.0,59.62,22.63
0.2,0.3,0.2,6.82,13.65,61.49,11.13
0.2,0.3,0.3,6.82,13.66,61.49,11.13
0.2,0.3,0.1,6.76,13.53,61.49,11.14
0.4,0.4,0.4,6.65,13.31,59.02,14.57
0.4,0.4,0.3,6.65,13.31,59.02,14.57
0.4,0.4,0.2,6.65,13.31,59.02,14.57
0.2,0.2,0.2,6.17,12.32,61.59,12.63
0.2,0.2,0.3,6.17,12.33,61.59,12.63
0.2,0.2,0.1,6.0,11.96,61.59,12.67
0.2,0.3,0.4,5.86,11.69,61.88,11.3
0.2,0.2,0.4,5.32,10.59,62.0,12.8
0.4,0.3,0.1,5.2,10.33,57.14,12.09
0.7,0.1,0.1,5.1,10.13,54.29,14.32
0.7,0.1,0.2,5.1,10.13,54.29,14.32
0.7,0.1,0.3,5.1,10.13,54.29,14.32
0.7,0.1,0.4,5.1,10.13,54.29,14.32
0.5,0.2,0.1,4.94,9.82,62.12,19.07
0.5,0.2,0.2,4.94,9.82,62.12,19.07
0.5,0.2,0.3,4.94,9.82,62.12,19.07
0.5,0.2,0.4,4.94,9.82,62.12,19.07
0.4,0.3,0.4,4.23,8.36,57.69,12.31
0.4,0.3,0.3,4.23,8.36,57.69,12.31
0.4,0.3,0.2,4.23,8.36,57.69,12.31
0.2,0.1,0.3,4.06,8.02,61.36,11.7
0.2,0.1,0.2,4.05,8.01,61.36,11.7
0.3,0.4,0.2,4.01,7.93,56.64,10.15
0.2,0.1,0.1,3.87,7.65,61.36,11.74
0.8,0.1,0.4,3.66,7.23,51.52,14.93
0.8,0.1,0.3,3.66,7.23,51.52,14.93
0.8,0.1,0.1,3.66,7.23,51.52,14.93
0.8,0.1,0.2,3.66,7.23,51.52,14.93
0.3,0.4,0.1,3.6,7.11,56.64,10.22
0.4,0.2,0.1,3.19,6.28,54.95,14.62
0.2,0.1,0.4,3.19,6.28,61.83,11.87
0.4,0.1,0.1,3.16,6.22,55.26,15.37
0.3,0.4,0.3,2.87,5.65,57.04,10.36
0.3,0.4,0.4,2.87,5.65,57.04,10.36
0.5,0.4,0.2,2.8,5.5,63.04,19.86
0.5,0.4,0.1,2.8,5.5,63.04,19.86
0.5,0.4,0.3,2.8,5.5,63.04,19.86
0.5,0.4,0.4,2.8,5.5,63.04,19.86
0.4,0.2,0.2,2.32,4.55,55.56,14.86
0.4,0.2,0.4,2.32,4.55,55.56,14.86
0.4,0.2,0.3,2.32,4.55,55.56,14.86
0.4,0.1,0.4,2.29,4.49,56.0,15.62
0.4,0.1,0.3,2.29,4.49,56.0,15.62
0.4,0.1,0.2,2.29,4.49,56.0,15.62
0.3,0.3,0.2,0.85,1.66,57.48,15.3
0.3,0.3,0.1,0.65,1.27,57.48,15.35
0.6,0.4,0.3,0.17,0.33,58.82,22.0
0.6,0.4,0.2,0.17,0.33,58.82,22.0
0.6,0.4,0.1,0.17,0.33,58.82,22.0
0.6,0.4,0.4,0.17,0.33,58.82,22.0
0.3,0.3,0.4,-0.1,-0.19,57.94,15.55
0.3,0.3,0.3,-0.1,-0.19,57.94,15.55
0.3,0.1,0.2,-0.84,-1.63,59.38,14.07
0.3,0.1,0.1,-0.88,-1.71,59.38,14.08
0.7,0.3,0.1,-1.0,-1.94,54.55,17.66
0.7,0.3,0.2,-1.0,-1.94,54.55,17.66
0.7,0.3,0.3,-1.0,-1.94,54.55,17.66
0.7,0.3,0.4,-1.0,-1.94,54.55,17.66
0.5,0.3,0.3,-1.67,-3.22,62.16,29.64
0.5,0.3,0.4,-1.67,-3.22,62.16,29.64
0.5,0.3,0.1,-1.67,-3.22,62.16,29.64
0.5,0.3,0.2,-1.67,-3.22,62.16,29.64
0.3,0.1,0.3,-1.69,-3.25,60.0,14.28
0.3,0.1,0.4,-1.69,-3.25,60.0,14.28
0.7,0.4,0.1,-1.76,-3.39,55.56,13.14
0.7,0.4,0.4,-1.76,-3.39,55.56,13.14
0.7,0.4,0.3,-1.76,-3.39,55.56,13.14
0.7,0.4,0.2,-1.76,-3.39,55.56,13.14
0.6,0.3,0.2,-3.09,-5.91,58.62,28.14
0.6,0.3,0.4,-3.09,-5.91,58.62,28.14
0.6,0.3,0.3,-3.09,-5.91,58.62,28.14
0.6,0.3,0.1,-3.09,-5.91,58.62,28.14
0.3,0.2,0.2,-6.11,-11.52,51.38,20.4
0.3,0.2,0.1,-6.2,-11.67,51.38,20.43
0.3,0.2,0.4,-7.0,-13.13,51.85,20.7
0.3,0.2,0.3,-7.0,-13.13,51.85,20.7
