f1,f2,f3,annual_return,total_return,win_rate,max_drawdown
0.6,0.2,0.4,296.59,1333.24,67.06,79.44
0.6,0.2,0.2,296.59,1333.24,67.06,79.44
0.6,0.2,0.3,296.59,1333.24,67.06,79.44
0.6,0.2,0.1,296.59,1333.24,67.06,79.44
0.8,0.2,0.4,279.89,1218.89,67.21,73.16
0.8,0.2,0.2,268.04,1140.56,65.57,85.92
0.8,0.2,0.3,268.04,1140.56,65.57,85.92
0.8,0.2,0.1,268.04,1140.56,65.57,85.92
0.3,0.2,0.3,265.15,1121.78,66.9,75.78
0.3,0.2,0.2,265.15,1121.78,66.9,75.78
0.3,0.2,0.1,265.15,1121.78,66.9,75.78
0.3,0.2,0.4,265.15,1121.78,66.9,75.78
0.2,0.3,0.3,253.15,1045.36,68.57,71.97
0.2,0.3,0.1,253.15,1045.36,68.57,71.97
0.2,0.3,0.2,253.15,1045.36,68.57,71.97
0.2,0.3,0.4,253.15,1045.36,68.57,71.97
0.2,0.2,0.2,251.71,1036.38,67.46,85.92
0.2,0.2,0.3,251.71,1036.38,67.46,85.92
0.2,0.2,0.4,251.71,1036.38,67.46,85.92
0.2,0.2,0.1,251.71,1036.38,67.46,85.92
0.5,0.3,0.4,249.98,1025.61,66.67,144.7
0.5,0.3,0.3,249.98,1025.61,66.67,144.7
0.5,0.3,0.2,249.98,1025.61,66.67,144.7
0.5,0.3,0.1,249.98,1025.61,66.67,144.7
0.3,0.3,0.1,239.88,963.68,66.45,74.78
0.3,0.3,0.3,239.88,963.68,66.45,74.78
0.3,0.3,0.4,239.88,963.68,66.45,74.78
0.3,0.3,0.2,239.88,963.68,66.45,74.78
0.5,0.2,0.4,206.07,768.67,64.21,131.69
0.5,0.2,0.3,206.07,768.67,64.21,131.69
0.5,0.2,0.2,206.07,768.67,64.21,131.69
0.5,0.2,0.1,206.07,768.67,64.21,131.69
0.6,0.1,0.4,204.96,762.61,65.33,111.75
0.6,0.1,0.2,204.96,762.61,65.33,111.75
0.6,0.1,0.3,204.96,762.61,65.33,111.75
0.6,0.1,0.1,204.96,762.61,65.33,111.75
0.4,0.2,0.3,201.0,741.09,64.57,111.56
0.4,0.2,0.2,201.0,741.09,64.57,111.56
0.4,0.2,0.1,201.0,741.09,64.57,111.56
0.4,0.2,0.4,201.0,741.09,64.57,111.56
0.2,0.4,0.2,197.57,722.68,64.09,81.8
0.2,0.4,0.3,197.57,722.68,64.09,81.8
0.2,0.4,0.1,197.57,722.68,64.09,81.8
0.2,0.4,0.4,197.57,722.68,64.09,81.8
0.6,0.3,0.1,196.9,719.12,67.03,100.34
0.6,0.3,0.2,196.9,719.12,67.03,100.34
0.6,0.3,0.3,196.9,719.12,67.03,100.34
0.6,0.3,0.4,196.9,719.12,67.03,100.34
0.3,0.1,0.4,183.06,646.91,64.12,96.65
0.3,0.1,0.2,183.06,646.91,64.12,96.65
0.3,0.1,0.3,183.06,646.91,64.12,96.65
0.3,0.1,0.1,183.06,646.91,64.12,96.65
0.3,0.4,0.3,179.03,626.52,62.42,85.76
0.3,0.4,0.4,179.03,626.52,62.42,85.76
0.3,0.4,0.2,179.03,626.52,62.42,85.76
0.3,0.4,0.1,179.03,626.52,62.42,85.76
0.8,0.1,0.4,174.57,604.23,66.04,87.32
0.7,0.3,0.4,173.2,597.48,65.28,146.6
0.8,0.3,0.4,173.1,596.95,63.77,85.03
0.7,0.3,0.3,168.52,574.53,65.75,154.09
0.7,0.3,0.2,168.52,574.53,65.75,154.09
0.7,0.3,0.1,168.52,574.53,65.75,154.09
0.8,0.1,0.2,158.32,525.9,64.15,103.58
0.8,0.1,0.1,158.32,525.9,64.15,103.58
0.8,0.1,0.3,158.32,525.9,64.15,103.58
0.8,0.3,0.1,156.76,518.62,62.32,100.24
0.8,0.3,0.3,156.76,518.62,62.32,100.24
0.8,0.3,0.2,156.76,518.62,62.32,100.24
0.4,0.4,0.3,150.59,490.23,60.26,100.0
0.4,0.4,0.4,150.59,490.23,60.26,100.0
0.4,0.4,0.2,150.59,490.23,60.26,100.0
0.4,0.4,0.1,150.59,490.23,60.26,100.0
0.8,0.4,0.4,150.55,490.05,64.94,72.55
0.7,0.2,0.4,147.78,477.51,62.12,132.14
0.7,0.2,0.3,142.64,454.57,62.69,140.36
0.7,0.2,0.1,142.64,454.57,62.69,140.36
0.7,0.2,0.2,142.64,454.57,62.69,140.36
0.6,0.4,0.1,139.34,440.1,69.16,102.03
0.6,0.4,0.2,139.34,440.1,69.16,102.03
0.6,0.4,0.3,139.34,440.1,69.16,102.03
0.6,0.4,0.4,139.34,440.1,69.16,102.03
0.7,0.1,0.4,134.93,421.03,61.29,152.85
0.8,0.4,0.3,132.75,411.72,63.64,83.52
0.8,0.4,0.2,132.75,411.72,63.64,83.52
0.8,0.4,0.1,132.75,411.72,63.64,83.52
0.5,0.1,0.4,115.9,342.56,58.23,184.88
0.5,0.1,0.3,115.9,342.56,58.23,184.88
0.5,0.1,0.1,115.9,342.56,58.23,184.88
