datetime,open,high,low,close,volume,open_interest
2015-01-05,6080.0,6080.0,6050.0,6050.0,4.0,7366.0
2015-01-06,6050.0,6100.0,6000.0,6100.0,148.0,7366.0
2015-01-07,6094.0,6150.0,5980.0,5980.0,426.0,7366.0
2015-01-08,6148.0,6148.0,6148.0,6148.0,0.0,7366.0
2015-01-09,5950.0,5950.0,5950.0,5950.0,0.0,7366.0
2015-01-12,5950.0,6160.0,5950.0,6160.0,386.0,7366.0
2015-01-13,6160.0,6160.0,6160.0,6160.0,0.0,7366.0
2015-01-14,6160.0,6160.0,6160.0,6160.0,0.0,7366.0
2015-01-15,6160.0,6160.0,6160.0,6160.0,0.0,7366.0
2015-01-16,6160.0,6160.0,6160.0,6160.0,0.0,7366.0
2015-01-19,5934.0,5934.0,5808.0,5826.0,24.0,260.0
2015-01-20,5836.0,5922.0,5790.0,5802.0,6.0,260.0
2015-01-21,5838.0,5838.0,5762.0,5774.0,4.0,260.0
2015-01-22,5768.0,5768.0,5768.0,5768.0,0.0,260.0
2015-01-23,5768.0,5768.0,5754.0,5754.0,2.0,258.0
2015-01-26,5754.0,5754.0,5754.0,5754.0,0.0,258.0
2015-01-27,5754.0,5808.0,5644.0,5644.0,8.0,258.0
2015-01-28,5686.0,5686.0,5458.0,5580.0,94.0,282.0
2015-01-29,5602.0,5618.0,5570.0,5570.0,66.0,4278.0
2015-01-30,5598.0,5678.0,5598.0,5608.0,32.0,4276.0
2015-02-02,5618.0,5800.0,5618.0,5716.0,1082.0,5310.0
2015-02-03,5776.0,5776.0,5620.0,5684.0,856.0,5300.0
2015-02-04,5626.0,5668.0,5518.0,5650.0,20.0,5290.0
2015-02-05,5634.0,5634.0,5568.0,5588.0,2.0,5290.0
2015-02-06,5578.0,5632.0,5578.0,5622.0,4.0,5290.0
2015-02-09,5628.0,5628.0,5560.0,5560.0,6.0,5288.0
2015-02-10,5564.0,5614.0,5550.0,5614.0,1050.0,4768.0
2015-02-11,5556.0,5626.0,5556.0,5626.0,2.0,4766.0
2015-02-12,5626.0,5630.0,5618.0,5630.0,6.0,4758.0
2015-02-13,5636.0,5636.0,5636.0,5636.0,0.0,4756.0
2015-02-16,5636.0,5648.0,5636.0,5648.0,2.0,4756.0
2015-02-17,5648.0,5648.0,5588.0,5588.0,6.0,4750.0
2015-02-25,5588.0,5588.0,5588.0,5588.0,0.0,4750.0
2015-02-26,5600.0,5600.0,5600.0,5600.0,0.0,4750.0
2015-02-27,5600.0,5600.0,5600.0,5600.0,0.0,4750.0
2015-03-02,5600.0,5600.0,5510.0,5558.0,2306.0,4556.0
2015-03-03,5524.0,5650.0,5520.0,5650.0,32.0,4556.0
2015-03-04,5630.0,5630.0,5630.0,5630.0,0.0,4556.0
2015-03-05,5630.0,5630.0,5602.0,5602.0,4.0,4552.0
2015-03-06,5602.0,5602.0,5602.0,5602.0,0.0,4552.0
2015-03-09,5612.0,5650.0,5604.0,5648.0,1036.0,4932.0
2015-03-10,5650.0,5654.0,5530.0,5598.0,1220.0,6632.0
2015-03-11,5644.0,5644.0,5520.0,5580.0,3204.0,4332.0
2015-03-12,5542.0,5648.0,5522.0,5636.0,8.0,4330.0
2015-03-13,5612.0,5646.0,5572.0,5582.0,4.0,4324.0
2015-03-16,5600.0,5600.0,5600.0,5600.0,0.0,4324.0
2015-03-17,5600.0,5660.0,5600.0,5610.0,30.0,4336.0
2015-03-18,5642.0,5642.0,5560.0,5560.0,2.0,4334.0
2015-03-19,5560.0,5636.0,5560.0,5600.0,30.0,4312.0
2015-03-20,5630.0,5630.0,5582.0,5602.0,6.0,4310.0
2015-03-23,5590.0,5590.0,5430.0,5580.0,16.0,4298.0
2015-03-24,5562.0,5598.0,5562.0,5598.0,2.0,4296.0
2015-03-25,5598.0,5598.0,5598.0,5598.0,0.0,4296.0
2015-03-26,5596.0,5622.0,5572.0,5580.0,86.0,4218.0
2015-03-27,5582.0,5582.0,5404.0,5404.0,14.0,4224.0
2015-03-30,5498.0,5648.0,5422.0,5490.0,16.0,4216.0
2015-03-31,5544.0,5544.0,5412.0,5450.0,614.0,3614.0
2015-04-01,5414.0,5414.0,5414.0,5414.0,0.0,3614.0
2015-04-02,5414.0,5414.0,5342.0,5342.0,2.0,3616.0
2015-04-03,5342.0,5430.0,5170.0,5418.0,14.0,3616.0
2015-04-07,5326.0,5438.0,5326.0,5400.0,180.0,3616.0
2015-04-08,5430.0,5440.0,5264.0,5352.0,2022.0,1602.0
2015-04-09,5430.0,5430.0,5380.0,5380.0,80.0,1522.0
2015-04-10,5380.0,5380.0,5188.0,5262.0,20.0,1518.0
