datetime,open,high,low,close,volume,open_interest
2015/1/5,1029,1046,1023,1046,124640,113136
2015/1/6,1046,1065,1038,1047,338920,128900
2015/1/7,1048,1061,1045,1053,155470,130530
2015/1/8,1053,1064,1051,1059,188002,122770
2015/1/9,1059,1060,1050,1057,106256,114698
2015/1/10,1057,1057,1050,1052,11182,112016
2015/1/12,1051,1051,1032,1036,123046,109660
2015/1/13,1035,1045,1034,1042,64502,112610
2015/1/14,1042,1043,1029,1037,117398,112070
2015/1/15,1037,1052,1036,1046,118844,120504
2015/1/16,1046,1048,1042,1046,61014,128522
2015/1/17,1046,1046,1042,1045,4822,127528
2015/1/19,1045,1057,1034,1038,203284,127874
2015/1/20,1038,1043,1029,1038,110544,108754
2015/1/21,1038,1043,1033,1038,82852,107002
2015/1/22,1038,1040,1030,1032,71128,108724
2015/1/23,1031,1035,1020,1024,113808,115022
2015/1/24,1024,1024,1022,1022,2132,114400
2015/1/26,1023,1023,1015,1023,112644,118216
2015/1/27,1022,1031,1022,1025,65916,110300
2015/1/28,1025,1028,1021,1027,37800,110722
2015/1/29,1027,1031,1023,1025,49958,102998
2015/1/30,1026,1029,1023,1026,28188,101592
2015/1/31,1025,1027,1025,1027,762,101656
2015/2/2,1027,1029,1024,1027,45334,95146
2015/2/3,1027,1035,1026,1030,48380,92562
2015/2/4,1030,1038,1027,1032,67560,96526
2015/2/5,1032,1034,1029,1032,22012,94478
2015/2/6,1032,1045,1031,1037,67118,98476
2015/2/7,1037,1037,1034,1034,3548,97196
2015/2/9,1035,1036,1031,1033,24500,93212
2015/2/10,1033,1037,1033,1033,14548,91034
2015/2/11,1034,1037,1032,1032,15742,87942
2015/2/12,1032,1035,1031,1034,14942,85858
2015/2/13,1034,1043,1034,1042,39848,84204
2015/2/14,1042,1043,1041,1042,896,84036
2015/2/16,1041,1043,1035,1038,27692,75156
2015/2/17,1038,1038,1026,1029,28824,70242
2015/2/25,1024,1028,1019,1021,32748,69282
2015/2/26,1021,1028,1021,1026,21540,69578
2015/2/27,1026,1026,1020,1023,21252,70646
2015/2/28,1023,1023,1022,1023,220,70588
2015/3/2,1023,1025,1017,1024,47938,73422
2015/3/3,1024,1024,1018,1019,26306,69658
2015/3/4,1019,1022,997,1008,43142,71080
2015/3/5,1008,1008,1001,1003,36966,76214
2015/3/6,1003,1011,998,1004,38104,76422
2015/3/7,1004,1005,1004,1005,396,76258
2015/3/9,1005,1011,1002,1008,23400,70860
2015/3/10,1008,1010,1000,1004,23692,71188
2015/3/11,1004,1008,1002,1006,13716,67870
2015/3/12,1006,1008,1004,1006,16160,67302
2015/3/13,1006,1008,1000,1004,24328,66966
2015/3/14,1004,1005,1003,1005,464,66794
2015/3/16,1004,1004,992,1000,50886,69388
2015/3/17,1000,1003,989,992,34150,73010
2015/3/18,992,993,979,983,50864,72610
2015/3/19,983,986,977,980,27038,69054
2015/3/20,980,984,972,977,18372,69574
2015/3/21,977,978,976,977,1182,68948
2015/3/23,977,978,960,972,58990,75496
2015/3/24,971,974,961,965,35208,77108
2015/3/25,965,966,944,950,63184,72206
2015/3/26,950,956,938,944,43688,66236
2015/3/27,944,965,930,963,72940,66680
2015/3/28,963,966,963,964,2928,65860
2015/3/30,965,965,938,939,83726,75416
2015/3/31,939,950,935,940,107800,77710
2015/4/1,940,949,936,947,83984,79970
2015/4/2,947,948,926,934,84740,85594
2015/4/3,934,940,931,934,37298,85654
2015/4/7,930,937,928,934,41900,87754
2015/4/8,934,935,901,913,156788,92732
2015/4/9,912,914,897,898,74582,101970
2015/4/10,899,905,886,896,117290,108438
2015/4/11,896,897,894,896,1372,108638
2015/4/13,895,927,893,914,169388,106076
2015/4/14,913,927,905,909,172238,114718
2015/4/15,908,915,899,913,121594,120432
2015/4/16,913,919,909,913,87792,114700
2015/4/17,913,917,906.5,909,63740,113180
2015/4/18,908.5,911,908,909.5,2492,113596
2015/4/20,911,913,889.5,893.5,133306,123530
2015/4/21,893.5,905.5,891,901.5,68648,123870
2015/4/22,901.5,919,899,912.5,146500,115190
2015/4/23,912.5,917,901,917,119686,116082
2015/4/24,917,933.5,914,929,260442,124554
2015/4/25,929,957.5,927,955.5,74538,124600
2015/4/27,950,950,933,943.5,344962,147824
2015/4/28,943,946,928,933.5,166656,150886
2015/4/29,933.5,934.5,901.5,919.5,308752,138884
2015/4/30,919.5,920,909.5,913.5,82276,135420
2015/5/4,908,929,883,924.5,548518,195430
2015/5/5,924.5,940,919.5,934,540518,206992
2015/5/6,934,941,923.5,925,472858,219852
2015/5/7,925.5,932,920,923.5,279404,216714
2015/5/8,923.5,939,921,933.5,510040,212454
2015/5/11,934.5,938,926.5,926.5,249782,213108
2015/5/12,926,928.5,912,913.5,300768,220814
2015/5/13,914,925,908.5,910.5,275382,198712
2015/5/14,910,915,901,912,309212,193150
2015/5/15,912,918,908.5,915.5,162054,184094
2015/5/18,915.5,922.5,910,911.5,181486,178558
2015/5/19,912,914,900.5,903.5,170508,169528
2015/5/20,903.5,907,893,904,182238,161862
2015/5/21,904.5,915,904,911.5,162468,165102
2015/5/22,912,914,903.5,910,152108,163504
2015/5/25,910,919.5,905.5,919,197474,170420
2015/5/26,919,921,909,912,233496,167552
2015/5/27,912,916,908.5,914,105330,166308
2015/5/28,914.5,916,909.5,912,118122,155056
2015/5/29,912.5,924,909,919.5,200760,166102
2015/6/1,919.5,928,916,924,187932,168658
2015/6/2,924,925.5,919.5,922.5,116868,167318
2015/6/3,922.5,924.5,917,918.5,87338,158426
2015/6/4,918.5,921.5,912,919.5,138046,153888
2015/6/5,919.5,920.5,913,915,76638,151086
2015/6/8,916,916,910.5,913,71780,143578
2015/6/9,913.5,915,912,914.5,49186,141766
2015/6/10,914.5,920,913.5,915.5,105716,150202
2015/6/11,916,917.5,904.5,905,103734,141902
2015/6/12,905,908,901,904.5,117510,134166
2015/6/15,904,905,893.5,900.5,98100,135618
2015/6/16,900.5,902,886.5,891.5,110752,136354
2015/6/17,891.5,895.5,879.5,881.5,191232,163794
2015/6/18,881.5,884,877.5,883,110722,164014
2015/6/19,883,885.5,881.5,883,47166,151928
2015/6/23,882,885.5,878,882.5,69398,154010
2015/6/24,882.5,887,878.5,879.5,90754,160214
2015/6/25,879.5,881,872.5,878,115610,161690
2015/6/26,878,883,872,874,96912,150682
2015/6/29,875,877.5,867,869,114358,151254
2015/6/30,868.5,886,861.5,877.5,192310,133988
2015/7/1,878,881.5,870,876.5,92954,133608
2015/7/2,877,884.5,873,883,95944,126884
2015/7/3,883,883,871,875.5,92030,113532
2015/7/6,875,875,844,854.5,254382,123024
2015/7/7,854,857,816,816.5,247366,96954
2015/7/8,817,831,785,803.5,151468,79802
2015/7/9,804,859.5,799.5,826.5,303148,74296
2015/7/10,827,837,808,814,234920,88558
2015/7/13,814,821,806.5,815.5,79272,85568
2015/7/14,816,821,805,806.5,73464,85136
2015/7/15,807,813,801,803,69750,87462
2015/7/16,803,812.5,801.5,809,60102,83396
2015/7/17,808,812.5,805.5,810,32592,80326
2015/7/20,810,823.5,810,820,115546,79006
2015/7/21,821,821.5,807,809,65156,79710
2015/7/22,808.5,810,799.5,802,90034,83594
2015/7/23,802,807.5,800.5,804,29950,81780
2015/7/24,804,808,802,806.5,33264,75374
2015/7/27,806.5,815,803,805.5,59008,70390
2015/7/28,805.5,819.5,804.5,816.5,61942,69632
2015/7/29,816,826.5,811,820.5,74750,62602
2015/7/30,820.5,822.5,811.5,816,40632,63698
2015/7/31,816,825.5,815,821.5,46114,59768
2015/8/3,820.5,827.5,815.5,820.5,54074,57306
2015/8/4,820,826,817,824.5,33984,54760
2015/8/5,823.5,824,818,820,24678,52190
2015/8/6,820,825,818.5,821,21978,50466
2015/8/7,821.5,824,816,823,18102,45966
2015/8/10,820,822,817,820,14038,43950
2015/8/11,820.5,824.5,808,810.5,29282,43932
2015/8/12,810.5,835,808.5,829.5,80438,51826
2015/8/13,829,830,820.5,822.5,93014,62134
2015/8/14,822.5,827,818,820.5,49530,63774
2015/8/17,821,823,809.5,811.5,52036,64564
2015/8/18,811.5,812,803,805,64120,73972
2015/8/19,805,808,804,805.5,31266,69344
2015/8/20,805.5,809,803.5,806,43270,62596
2015/8/21,806,807,801,804.5,24390,60060
2015/8/24,804,804,775,781,167348,74768
2015/8/25,781,793.5,778,786.5,73950,70452
2015/8/26,786.5,787,777.5,782.5,62640,72472
2015/8/27,782.5,799,782.5,798.5,62544,64156
2015/8/28,799,808,791.5,795,77734,63260
2015/8/31,795,797.5,785,787,47040,65590
2015/9/1,788,790.5,783,784.5,40142,67858
2015/9/2,784,785,781.5,782.5,27102,69342
2015/9/7,780,786,780,784,41900,72476
2015/9/8,784,796,782.5,794.5,64754,71310
2015/9/9,794.5,800.5,787,787.5,96462,79004
2015/9/10,787.5,794.5,783,792,77404,79420
2015/9/11,792,793,781.5,783,57684,88622
2015/9/14,782.5,783.5,771.5,776.5,153838,114274
2015/9/15,776.5,781,773.5,779.5,83886,103954
2015/9/16,779.5,780.5,772.5,778,86922,103690
2015/9/17,778.5,779.5,775,777.5,48274,101786
2015/9/18,777.5,781,771.5,779,76364,96706
2015/9/21,779,783,776,779,71750,97238
2015/9/22,778.5,779.5,768,768.5,89506,108122
2015/9/23,768,772.5,768,770.5,57888,102688
2015/9/24,770.5,774.5,768,774,52726,96184
2015/9/25,773.5,775,772.5,773.5,21814,92994
2015/9/28,771.5,771.5,762,766,49550,91872
2015/9/29,765,767.5,759,760,50870,92144
2015/9/30,760,761,756,759.5,39496,100618
2015/10/8,765,765,753,756.5,49360,107572
2015/10/9,757,766.5,756.5,757,91764,110642
2015/10/12,756,757,740.5,742.5,202586,173464
2015/10/13,741.5,744,739.5,741.5,71518,175982
2015/10/14,741.5,741.5,734,735.5,108450,198862
2015/10/15,736,741,735,737.5,70152,190170
2015/10/16,737.5,742,735.5,737.5,67138,183942
2015/10/19,737,741.5,733,735,76826,182082
