datetime,high,low,close
2022/12/26,2703,2619.5,2680
2022/12/27,2732.5,2620,2707.5
2022/12/28,2791.5,2651,2660.5
2022/12/29,2711.5,2650,2675
2022/12/30,2728,2660,2712
2023/1/3,2739,2683.5,2692.5
2023/1/4,2650,2580,2613.5
2023/1/5,2622,2561,2594.5
2023/1/6,2648,2585,2615.5
2023/1/9,2740.5,2611,2718
2023/1/10,2748.5,2700.5,2720
2023/1/11,2740,2682,2735.5
2023/1/12,2817.5,2721.5,2793
2023/1/13,2850,2765,2810.5
2023/1/16,2857,2805,2840
2023/1/17,2838,2763,2814
2023/1/18,2888,2810.5,2874
2023/1/19,2909.5,2854.5,2874.5
2023/1/20,2927,2832.5,2868
2023/1/30,2904,2861,2869.5
2023/1/31,2980,2866,2917.5
2023/2/1,2917.5,2803.5,2834.5
2023/2/2,2858,2765,2790
2023/2/3,2830,2745,2756
2023/2/6,2766,2704,2755
2023/2/7,2776,2698.5,2715
2023/2/8,2766.5,2707.5,2717
2023/2/9,2808,2722,2781.5
2023/2/10,2828,2758,2784
2023/2/13,2784.5,2710,2719.5
2023/2/14,2719.5,2665,2681
2023/2/15,2715,2667.5,2702
2023/2/16,2738,2690,2725
2023/2/17,2815,2728,2810
2023/2/20,2836,2801,2822
2023/2/21,2898,2813,2891
2023/2/22,2898,2863,2888
2023/2/23,2965,2869,2964
2023/2/24,2979,2914,2958
2023/2/27,2962,2902,2930.5
2023/2/28,2995,2919.5,2927
2023/3/1,2943,2867.5,2919.5
2023/3/2,2977.5,2908.5,2964.5
2023/3/3,2974.5,2922,2934.5
2023/3/6,2983,2920,2958
2023/3/7,2943,2887,2903
2023/3/8,2943.5,2897,2915
2023/3/9,2918,2828,2834.5
2023/3/10,2952.5,2824,2933
2023/3/13,2942,2875,2927.5
2023/3/14,2945,2872,2921
2023/3/15,2927,2851,2860
2023/3/16,2875,2776,2791.5
2023/3/17,2806.5,2748,2793
2023/3/20,2813.5,2766.5,2770.5
2023/3/21,2795.5,2723,2737.5
2023/3/22,2765,2709.5,2728
2023/3/23,2745,2695.5,2737.5
2023/3/24,2757,2680,2715.5
2023/3/27,2745,2688,2730
2023/3/28,2747,2653.5,2653.5
2023/3/29,2703.5,2662,2677.5
2023/3/30,2694.5,2644.5,2679
2023/3/31,2699.5,2650,2689
2023/4/3,2765.5,2686.5,2736.5
2023/4/4,2750,2591,2603.5
2023/4/6,2604.5,2574,2579
2023/4/7,2586,2513.5,2538
2023/4/10,2565,2530.5,2540
2023/4/11,2530,2458,2512
2023/4/12,2541,2489,2511
2023/4/13,2534,2340,2345
2023/4/14,2360,2311.5,2357
2023/4/17,2399,2323,2344.5
2023/4/18,2386,2304.5,2385.5
2023/4/19,2410,2355,2399.5
2023/4/20,2420,2320,2332
2023/4/21,2336,2285,2287.5
2023/4/24,2305,2261,2278.5
2023/4/25,2274,2216,2240.5
2023/4/26,2265,2168,2188.5
2023/4/27,2225,2181,2210
2023/4/28,2207.5,2119,2147
2023/5/4,2175,2133.5,2154.5
2023/5/5,2140,2063.5,2065
2023/5/8,2174.5,2055,2169
2023/5/9,2240,2077,2210
2023/5/10,2214.5,2136,2165
2023/5/11,2190,2130,2131
2023/5/12,2150,2081,2120.5
2023/5/15,2207.5,2107.5,2197.5
2023/5/16,2208,2162.5,2195
2023/5/17,2235,2173,2198.5
2023/5/18,2261,2193,2248
2023/5/19,2258,2153,2162
2023/5/22,2174,2112.5,2125
2023/5/23,2143,2087.5,2119
2023/5/24,2136.5,2065.5,2079
2023/5/25,2097.5,2026,2031
2023/5/26,2067,1909.5,1929.5
2023/5/29,2009,1919,1985.5
2023/5/30,1980,1923.5,1948
2023/5/31,1987,1881,1883.5
2023/6/1,1939.5,1866,1927
2023/6/2,1954,1900,1909
2023/6/5,2013,1910,2001.5
2023/6/6,2030,1963,2013
2023/6/7,2048,1990,2028
2023/6/8,2054.5,1983,2050.5
2023/6/9,2065,2010,2060
2023/6/12,2088.5,2040.5,2070.5
2023/6/13,2066,2003.5,2045.5
2023/6/14,2110,2040,2095.5
2023/6/15,2162,2082.5,2154
2023/6/16,2167.5,2125,2153.5
2023/6/19,2198,2143,2196
2023/6/20,2205,2126,2134
2023/6/21,2156,2115,2119
2023/6/26,2159,2119,2130.5
2023/6/27,2108.5,2016,2038
2023/6/28,2112,2037,2098.5
2023/6/29,2104.5,2055.5,2072.5
2023/6/30,2132,2069,2124.5
2023/7/3,2149,2094.5,2137
2023/7/4,2146,2064.5,2112
2023/7/5,2116,2060,2081.5
2023/7/6,2118.5,2061.5,2109
2023/7/7,2142,2089.5,2124
2023/7/10,2146,2070.5,2085
2023/7/11,2120,2063,2118
2023/7/12,2172.5,2115,2167.5
2023/7/13,2195,2156,2184
2023/7/14,2217,2158,2201.5
2023/7/17,2232,2185,2189.5
2023/7/18,2223,2158,2215.5
2023/7/19,2250,2210,2243
2023/7/20,2290,2227.5,2281
2023/7/21,2306,2278.5,2289
2023/7/24,2298,2245,2259
2023/7/25,2282.5,2234.5,2269.5
2023/7/26,2332.5,2252,2309.5
2023/7/27,2345,2307,2326
2023/7/28,2351,2281.5,2303
2023/7/31,2329,2260,2260
2023/8/1,2333.5,2247,2332.5
2023/8/2,2376.5,2315,2372
2023/8/3,2384.5,2259.5,2265
2023/8/4,2299,2210,2255
2023/8/7,2265,2192.5,2211.5
2023/8/8,2271,2217,2243
2023/8/9,2254.5,2210,2221.5
2023/8/10,2285,2226,2255
2023/8/11,2262,2205,2234
2023/8/14,2242.5,2182.5,2213
2023/8/15,2220,2060,2096.5
2023/8/16,2133,2082,2090.5
2023/8/17,2098,2065,2085.5
2023/8/18,2139,2060.5,2137
2023/8/21,2150,2081,2082
2023/8/22,2196,2083.5,2178
2023/8/23,2269,2163.5,2253.5
2023/8/24,2297.5,2247,2267.5
2023/8/25,2281.5,2214,2232.5
2023/8/28,2264,2218.5,2240.5
2023/8/29,2269,2180,2202
2023/8/30,2212,2166,2201
2023/8/31,2237.5,2182,2227
2023/9/1,2300,2221,2278
2023/9/4,2379.5,2278,2372
2023/9/5,2399,2341.5,2380
2023/9/6,2415,2357,2375.5
2023/9/7,2431,2349,2388.5
2023/9/8,2394,2335,2382.5
2023/9/11,2404.5,2309,2346
2023/9/12,2440,2348.5,2436.5
2023/9/13,2448.5,2400.5,2420
2023/9/14,2446.5,2375,2420
2023/9/15,2471,2408,2456
2023/9/18,2491.5,2446,2483
2023/9/19,2548,2475.5,2538.5
2023/9/20,2556.5,2488,2549.5
2023/9/21,2570,2512.5,2527.5
2023/9/22,2545.5,2462.5,2491.5
2023/9/25,2528.5,2454,2477
2023/9/26,2555,2415,2421.5
2023/9/27,2449.5,2380,2402
2023/9/28,2549.5,2380.5,2538.5
2023/10/9,2568,2500,2531
2023/10/10,2550,2416.5,2427
2023/10/11,2437,2350,2375.5
2023/10/12,2400,2322.5,2372
2023/10/13,2394,2336,2342
2023/10/16,2385,2323.5,2349.5
2023/10/17,2463.5,2330.5,2436
2023/10/18,2462,2371.5,2399
2023/10/19,2418,2325.5,2339.5
2023/10/20,2373,2313.5,2342.5
2023/10/23,2366,2300,2328
2023/10/24,2329.5,2280.5,2315
2023/10/25,2434.5,2303.5,2432
2023/10/26,2448,2405,2417
2023/10/27,2429,2381,2411.5
2023/10/30,2472,2394,2449.5
2023/10/31,2480,2422.5,2427
2023/11/1,2459,2409,2447.5
2023/11/2,2468,2385,2386
2023/11/3,2503.5,2386,2492
2023/11/6,2518.5,2479.5,2511
2023/11/7,2532.5,2487,2517.5
2023/11/8,2530,2487,2518
2023/11/9,2555,2492.5,2538.5
2023/11/10,2605,2513,2596
2023/11/13,2635,2576,2634.5
2023/11/14,2634.5,2552.5,2575
2023/11/15,2666.5,2555,2655
2023/11/16,2658,2570,2591.5
2023/11/17,2717,2586.5,2688
2023/11/20,2691.5,2627.5,2676
2023/11/21,2696.5,2640,2665
2023/11/22,2698.5,2609,2636.5
2023/11/23,2703,2578,2578
2023/11/24,2645.5,2575,2619.5
2023/11/27,2732.5,2622,2695
2023/11/28,2757,2681,2739
2023/11/29,2745.5,2675,2722
2023/11/30,2737,2588,2610
2023/12/1,2649,2589,2646.5
2023/12/4,2674.5,2596,2604
2023/12/5,2638,2526,2565.5
2023/12/6,2607,2530.5,2593.5
2023/12/7,2702,2553,2671.5
2023/12/8,2701.5,2645,2686.5
2023/12/11,2709,2636.5,2676.5
2023/12/12,2687,2584,2677
2023/12/13,2718,2658.5,2668
2023/12/14,2680,2591.5,2638.5
2023/12/15,2665,2520,2573
2023/12/18,2590,2480,2495
2023/12/19,2535,2466,2505.5
2023/12/20,2538,2480.5,2497
2023/12/21,2535,2452,2479.5
