datetime,high,low,close
2022/12/26,1879,1830,1850.5
2022/12/27,1910,1828,1886
2022/12/28,1944.5,1845,1860
2022/12/29,1896,1847,1863.5
2022/12/30,1887.5,1848.5,1868
2023/1/3,1895,1864,1873
2023/1/4,1864,1790,1805
2023/1/5,1807,1756,1782.5
2023/1/6,1813,1775.5,1796
2023/1/9,1859.5,1784.5,1844.5
2023/1/10,1869,1833,1843
2023/1/11,1854.5,1817,1841.5
2023/1/12,1888,1828.5,1854.5
2023/1/13,1892.5,1822,1863
2023/1/16,1906,1862.5,1886
2023/1/17,1878,1828,1838.5
2023/1/18,1895,1837.5,1880
2023/1/19,1919,1879,1896.5
2023/1/20,1912.5,1868,1885.5
2023/1/30,1909.5,1880.5,1886.5
2023/1/31,1949,1857,1884
2023/2/1,1887.5,1807,1825.5
2023/2/2,1837,1778,1803.5
2023/2/3,1831,1782.5,1811.5
2023/2/6,1826.5,1772,1819
2023/2/7,1846.5,1787,1809
2023/2/8,1838,1801,1806
2023/2/9,1854.5,1808,1837
2023/2/10,1866,1835,1852
2023/2/13,1863,1808,1817.5
2023/2/14,1819.5,1780,1793.5
2023/2/15,1825.5,1780,1815
2023/2/16,1847.5,1815,1837.5
2023/2/17,1888,1839,1887
2023/2/20,1899,1877.5,1890.5
2023/2/21,1969.5,1886.5,1969
2023/2/22,1976,1952.5,1967
2023/2/23,2073,1952,2070
2023/2/24,2085,2014,2049.5
2023/2/27,2060,2022,2035
2023/2/28,2101.5,2040,2065.5
2023/3/1,2070.5,2001,2017
2023/3/2,2054.5,2011.5,2034
2023/3/3,2044,1980,1987
2023/3/6,2026,1985,2006
2023/3/7,1998,1961,1975
2023/3/8,1998,1963,1986.5
2023/3/9,1993.5,1936,1945
2023/3/10,2014.5,1934.5,2007
2023/3/13,2002.5,1957.5,1987.5
2023/3/14,2019.5,1976.5,2010
2023/3/15,2015,1948,1953
2023/3/16,1966,1882,1896.5
2023/3/17,1903.5,1850,1886
2023/3/20,1899,1860.5,1867
2023/3/21,1889.5,1834.5,1848
2023/3/22,1868,1811,1827
2023/3/23,1842,1812,1839
2023/3/24,1856.5,1805,1839
2023/3/27,1862.5,1816,1844
2023/3/28,1860,1800,1805
2023/3/29,1840.5,1807.5,1826.5
2023/3/30,1847,1815.5,1839.5
2023/3/31,1846.5,1812,1829
2023/4/3,1868,1827.5,1854
2023/4/4,1863,1757,1763.5
2023/4/6,1769.5,1743.5,1758.5
2023/4/7,1768,1730.5,1763.5
2023/4/10,1780,1741,1741
2023/4/11,1740,1677,1702
2023/4/12,1738.5,1691.5,1719
2023/4/13,1729.5,1547.5,1551
2023/4/14,1566.5,1531,1564.5
2023/4/17,1592,1539.5,1543.5
2023/4/18,1590,1523,1587
2023/4/19,1609.5,1570,1598.5
2023/4/20,1614.5,1533.5,1546
2023/4/21,1547.5,1499,1500.5
2023/4/24,1514,1478,1496
2023/4/25,1498,1468,1485.5
2023/4/26,1504,1437,1445.5
2023/4/27,1470,1439,1447
2023/4/28,1448.5,1371.5,1383.5
2023/5/4,1394.5,1361,1383.5
2023/5/5,1381,1297.5,1298
2023/5/8,1369,1287.5,1368
2023/5/9,1419,1300.5,1397.5
2023/5/10,1403,1337.5,1359.5
2023/5/11,1373,1332.5,1340
2023/5/12,1363,1313,1340.5
2023/5/15,1387,1332,1378.5
2023/5/16,1394.5,1355.5,1381
2023/5/17,1398,1373.5,1384
2023/5/18,1448.5,1381.5,1435
2023/5/19,1442,1344,1352
2023/5/22,1367,1305.5,1325
2023/5/23,1348,1301,1331.5
2023/5/24,1353,1301,1315.5
