datetime,high,low,close
2022/12/28,7492,7422,7476
2022/12/29,7494,7366,7466
2022/12/30,7656,7406,7640
2023/1/3,7708,7622,7678
2023/1/4,7660,7508,7562
2023/1/5,7628,7510,7540
2023/1/6,7584,7472,7512
2023/1/9,7562,7394,7538
2023/1/10,7646,7518,7616
2023/1/11,7648,7564,7624
2023/1/12,7696,7602,7674
2023/1/13,7688,7596,7670
2023/1/16,7788,7632,7710
2023/1/17,7662,7520,7562
2023/1/18,7816,7592,7776
2023/1/19,7820,7730,7782
2023/1/20,7880,7762,7828
2023/1/30,7824,7638,7668
2023/1/31,7872,7680,7700
2023/2/1,7708,7540,7548
2023/2/2,7638,7448,7456
2023/2/3,7500,7422,7432
2023/2/6,7472,7374,7428
2023/2/7,7456,7380,7426
2023/2/8,7450,7380,7406
2023/2/9,7444,7358,7440
2023/2/10,7618,7458,7558
2023/2/13,7534,7392,7400
2023/2/14,7414,7342,7370
2023/2/15,7496,7356,7450
2023/2/16,7540,7418,7478
2023/2/17,7604,7448,7512
2023/2/20,7558,7400,7414
2023/2/21,7486,7412,7450
2023/2/22,7618,7508,7600
2023/2/23,7650,7564,7610
2023/2/24,7658,7558,7570
2023/2/27,7630,7450,7490
2023/2/28,7490,7380,7388
2023/3/1,7420,7370,7406
2023/3/2,7544,7380,7514
2023/3/3,7506,7454,7486
2023/3/6,7534,7460,7506
2023/3/7,7442,7360,7398
2023/3/8,7420,7372,7378
2023/3/9,7400,7328,7378
2023/3/10,7448,7334,7416
2023/3/13,7450,7304,7368
2023/3/14,7412,7328,7360
2023/3/15,7430,7344,7356
2023/3/16,7386,7312,7322
2023/3/17,7300,7214,7262
2023/3/20,7394,7262,7348
2023/3/21,7388,7318,7362
2023/3/22,7380,7322,7334
2023/3/23,7358,7250,7276
2023/3/24,7304,7232,7266
2023/3/27,7388,7226,7338
2023/3/28,7370,7310,7352
2023/3/29,7400,7350,7372
2023/3/30,7390,7188,7224
2023/3/31,7248,7176,7228
2023/4/3,7258,7202,7226
2023/4/4,7266,7196,7212
2023/4/6,7242,7196,7218
