datetime,true_close
2023/3/8,911.5
2023/3/9,931.5
2023/3/10,923
2023/3/13,932.5
2023/3/14,932
2023/3/15,918
2023/3/16,905
2023/3/17,911.5
2023/3/20,881.5
2023/3/21,880
2023/3/22,873.5
2023/3/23,852.5
2023/3/24,857.5
2023/3/27,870.5
2023/3/28,891.5
2023/3/29,895
2023/3/30,909
2023/3/31,903.5
2023/4/3,895
2023/4/4,882
2023/4/6,786
2023/4/7,794
2023/4/10,780
2023/4/11,792
2023/4/12,783
2023/4/13,778.5
2023/4/14,762
2023/4/17,783.5
2023/4/18,788.5
2023/4/19,771
2023/4/20,747
2023/4/21,723.5
2023/4/24,720
2023/4/25,706
2023/4/26,726
2023/4/27,720
2023/4/28,714.5
2023/5/4,681.5
2023/5/5,711
2023/5/8,724.5
2023/5/9,723
2023/5/10,707.5
2023/5/11,695
2023/5/12,720
2023/5/15,727
2023/5/16,723
2023/5/17,747.5
2023/5/18,734.5
2023/5/19,733
2023/5/22,719.5
2023/5/23,705
2023/5/24,683.5
2023/5/25,674.5
2023/5/26,712
2023/5/29,717
2023/5/30,697
2023/5/31,719.5
2023/6/1,736.5
2023/6/2,758.5
2023/6/5,770.5
2023/6/6,771
2023/6/7,788.5
2023/6/8,803
2023/6/9,797.5
2023/6/12,790.5
2023/6/13,804
2023/6/14,817.5
2023/6/15,804
2023/6/16,823.5
2023/6/19,805.5
2023/6/20,793.5
2023/6/21,796.5
2023/6/26,798.5
2023/6/27,825.5
2023/6/28,825.5
2023/6/29,838.5
2023/6/30,827.5
2023/7/3,826.5
2023/7/4,822.5
2023/7/5,829.5
2023/7/6,825.5
2023/7/7,811
2023/7/10,807.5
2023/7/11,813
2023/7/12,829
2023/7/13,836.5
2023/7/14,842.5
2023/7/17,838.5
2023/7/18,841.5
2023/7/19,847.5
2023/7/20,845
2023/7/21,846
2023/7/24,854
2023/7/25,862
2023/7/26,863
2023/7/27,846.5
2023/7/28,829.5
2023/7/31,841
2023/8/1,839.5
2023/8/2,819
2023/8/3,733
2023/8/4,719
2023/8/7,725
2023/8/8,711.5
2023/8/9,728.5
2023/8/10,728.5
2023/8/11,735
2023/8/14,729
2023/8/15,734
2023/8/16,744.5
2023/8/17,771
2023/8/18,761.5
2023/8/21,777
2023/8/22,810.5
2023/8/23,827
2023/8/24,816
2023/8/25,823.5
2023/8/28,817
2023/8/29,818
2023/8/30,836.5
2023/8/31,843.5
2023/9/1,863
2023/9/4,850.5
2023/9/5,857
2023/9/6,849.5
2023/9/7,830
2023/9/8,837
2023/9/11,856
2023/9/12,857.5
2023/9/13,858.5
2023/9/14,872
2023/9/15,864.5
2023/9/18,872.5
2023/9/19,875
2023/9/20,873
2023/9/21,856
2023/9/22,870.5
2023/9/25,837
2023/9/26,842.5
2023/9/27,853
2023/9/28,849.5
2023/10/9,817.5
2023/10/10,823.5
2023/10/11,831.5
2023/10/12,833
2023/10/13,841.5
2023/10/16,861
2023/10/17,871.5
2023/10/18,860
2023/10/19,861.5
2023/10/20,839
2023/10/23,834
2023/10/24,873
2023/10/25,869
2023/10/26,871.5
2023/10/27,895
2023/10/30,895
2023/10/31,912
2023/11/1,914
2023/11/2,928
2023/11/3,934.5
2023/11/6,928
2023/11/7,920
