datetime,open,high,low,close,volume,open_interest
2023/3/8,2902,2918,2828,2834.5,38258,39638
2023/3/9,2833,2952.5,2824,2933,44487,38297
2023/3/10,2922,2942,2875,2927.5,35533,36411
2023/3/13,2926,2945,2872,2921,28627,36293
2023/3/14,2921.5,2927,2851,2860,34092,36475
2023/3/15,2865,2875,2776,2791.5,32555,35065
2023/3/16,2798,2806.5,2748,2793,30765,34698
2023/3/17,2796,2813.5,2766.5,2770.5,21626,33532
2023/3/20,2771,2795.5,2723,2737.5,26673,34379
2023/3/21,2741,2765,2709.5,2728,22605,33110
2023/3/22,2729.5,2745,2695.5,2737.5,21076,32675
2023/3/23,2735,2757,2680,2715.5,27731,32738
2023/3/24,2710.5,2745,2688,2730,22696,31628
2023/3/27,2736.5,2747,2653.5,2653.5,27090,33517
2023/3/28,2664.5,2703.5,2662,2677.5,26052,31913
2023/3/29,2678.5,2694.5,2644.5,2679,21227,32061
2023/3/30,2676,2699.5,2650,2689,21568,30786
2023/3/31,2688,2765.5,2686.5,2736.5,31576,28898
2023/4/3,2735,2750,2591,2603.5,33333,29838
2023/4/4,2603.5,2604.5,2574,2579,10428,29077
2023/4/6,2570,2586,2513.5,2538,23554,28004
2023/4/7,2538.5,2565,2530.5,2540,15513,25499
2023/4/10,2530,2530,2458,2512,24809,23293
2023/4/11,2509.5,2541,2489,2511,14832,20599
2023/4/12,2513.5,2534,2340,2345,15038,28760
2023/4/13,2343.5,2360,2311.5,2357,22266,32490
2023/4/14,2357.5,2399,2323,2344.5,31277,35231
2023/4/17,2335.5,2386,2304.5,2385.5,31015,35492
2023/4/18,2383.5,2410,2355,2399.5,33545,35660
2023/4/19,2401.5,2420,2320,2332,34610,38030
2023/4/20,2330,2336,2285,2287.5,28322,40935
2023/4/21,2285.5,2305,2261,2278.5,29455,41742
2023/4/24,2266,2274,2216,2240.5,33342,44575
2023/4/25,2241.5,2265,2168,2188.5,31614,47031
2023/4/26,2189,2225,2181,2210,29275,47336
2023/4/27,2205,2207.5,2119,2147,36342,49126
2023/4/28,2148,2175,2133.5,2154.5,18729,48369
2023/5/4,2121,2140,2063.5,2065,39295,51278
2023/5/5,2065.5,2174.5,2055,2169,46944,50048
2023/5/8,2164,2240,2077,2210,62749,49520
2023/5/9,2206,2214.5,2136,2165,45319,49157
2023/5/10,2166,2190,2130,2131,36465,49222
2023/5/11,2130,2150,2081,2120.5,38872,49082
2023/5/12,2119,2207.5,2107.5,2197.5,45927,48843
2023/5/15,2188,2208,2162.5,2195,34511,48639
2023/5/16,2199,2235,2173,2198.5,38287,48310
2023/5/17,2194.5,2261,2193,2248,36956,49516
2023/5/18,2253.5,2258,2153,2162,44707,47951
2023/5/19,2161.5,2174,2112.5,2125,42525,47569
2023/5/22,2119.5,2143,2087.5,2119,37057,47380
2023/5/23,2121,2136.5,2065.5,2079,33125,48258
2023/5/24,2080,2097.5,2026,2031,33143,49474
2023/5/25,2034,2067,1909.5,1929.5,55380,52348
2023/5/26,1930,2009,1919,1985.5,43064,50659
2023/5/29,1980,1980,1923.5,1948,34987,51978
2023/5/30,1949.5,1987,1881,1883.5,45174,55548
2023/5/31,1883.5,1939.5,1866,1927,42404,53265
