datetime,open_datetime,close_datetime,open,high,low,close,volume,open_interest,total_turnover,symbol,data_name
2023/4/24 21:55,2023-04-24T21:55:00,2023-04-24T22:00:00,2243,2246,2240.5,2241,464,44948,104092700,J2309,J
2023/4/24 22:00,2023-04-24T22:00:00,2023-04-24T22:05:00,2240.5,2242,2237.5,2241,404,44928,90490000,J2309,J
2023/4/24 22:05,2023-04-24T22:05:00,2023-04-24T22:10:00,2241,2249.5,2241,2247,492,44935,110490950,J2309,J
2023/4/24 22:10,2023-04-24T22:10:00,2023-04-24T22:15:00,2247,2249.5,2244.5,2249.5,443,44913,99579300,J2309,J
2023/4/24 22:15,2023-04-24T22:15:00,2023-04-24T22:20:00,2249.5,2254.5,2246,2249.5,679,44828,152810450,J2309,J
2023/4/24 22:20,2023-04-24T22:20:00,2023-04-24T22:25:00,2248.5,2250,2242.5,2243.5,337,44776,75693300,J2309,J
2023/4/24 22:25,2023-04-24T22:25:00,2023-04-24T22:30:00,2243,2248,2241,2245.5,241,44783,54087650,J2309,J
2023/4/24 22:30,2023-04-24T22:30:00,2023-04-24T22:35:00,2245,2247,2241.5,2242.5,176,44790,39493550,J2309,J
2023/4/24 22:35,2023-04-24T22:35:00,2023-04-24T22:40:00,2243,2245,2240,2243.5,176,44764,39465400,J2309,J
2023/4/24 22:40,2023-04-24T22:40:00,2023-04-24T22:45:00,2245,2245.5,2242,2242,110,44736,24684650,J2309,J
2023/4/24 22:45,2023-04-24T22:45:00,2023-04-24T22:50:00,2242,2243.5,2239.5,2242,250,44707,56039900,J2309,J
2023/4/24 22:50,2023-04-24T22:50:00,2023-04-24T22:55:00,2241.5,2249.5,2240.5,2241,378,44636,84853700,J2309,J
2023/4/24 22:55,2023-04-24T22:55:00,2023-04-24T23:00:00,2241,2243,2240,2242.5,189,44608,42360000,J2309,J
2023/4/24 23:00,2023-04-24T23:00:00,2023-04-24T23:05:00,2242,2245,2240.5,2240.5,74,44575,16591550,J2309,J
2023/4/25 9:00,2023-04-25T09:00:00,2023-04-25T09:05:00,2241.5,2254.5,2241.5,2251.5,694,44500,156183950,J2309,J
2023/4/25 9:05,2023-04-25T09:05:00,2023-04-25T09:10:00,2251,2259,2250.5,2254.5,827,44335,186546700,J2309,J
2023/4/25 9:10,2023-04-25T09:10:00,2023-04-25T09:15:00,2254,2264,2254,2262.5,971,44241,219477500,J2309,J
2023/4/25 9:15,2023-04-25T09:15:00,2023-04-25T09:20:00,2261.5,2265,2256,2258,581,44155,131264050,J2309,J
2023/4/25 9:20,2023-04-25T09:20:00,2023-04-25T09:25:00,2258,2258,2251,2252.5,352,44128,79344050,J2309,J
2023/4/25 9:25,2023-04-25T09:25:00,2023-04-25T09:30:00,2252,2256.5,2251.5,2255,153,44139,34490600,J2309,J
2023/4/25 9:30,2023-04-25T09:30:00,2023-04-25T09:35:00,2255.5,2259,2247,2249.5,375,44127,84437350,J2309,J
2023/4/25 9:35,2023-04-25T09:35:00,2023-04-25T09:40:00,2249.5,2249.5,2243,2248,426,44211,95694850,J2309,J
2023/4/25 9:40,2023-04-25T09:40:00,2023-04-25T09:45:00,2248,2251.5,2245.5,2247,174,44256,39115150,J2309,J
2023/4/25 9:45,2023-04-25T09:45:00,2023-04-25T09:50:00,2247.5,2250,2245.5,2248.5,122,44287,27423150,J2309,J
2023/4/25 9:50,2023-04-25T09:50:00,2023-04-25T09:55:00,2249.5,2252,2249,2250.5,195,44321,43884600,J2309,J
