datetime,true_step_1,true_step_2,true_step_3,true_step_4,true_step_5,true_step_6,true_step_7,true_step_8,true_step_9,true_step_10,true_step_11,true_step_12,true_avg_1hr
2023-04-24 21:55:00,2241.0,2241.0,2247.0,2249.5,2249.5,2243.5,2245.5,2242.5,2243.5,2242.0,2242.0,2241.0,2244.0
2023-04-24 22:00:00,2241.0,2247.0,2249.5,2249.5,2243.5,2245.5,2242.5,2243.5,2242.0,2242.0,2241.0,2242.5,2244.125
2023-04-24 22:05:00,2247.0,2249.5,2249.5,2243.5,2245.5,2242.5,2243.5,2242.0,2242.0,2241.0,2242.5,2240.5,2244.0833333333335
2023-04-24 22:10:00,2249.5,2249.5,2243.5,2245.5,2242.5,2243.5,2242.0,2242.0,2241.0,2242.5,2240.5,2251.5,2244.4583333333335
2023-04-24 22:15:00,2249.5,2243.5,2245.5,2242.5,2243.5,2242.0,2242.0,2241.0,2242.5,2240.5,2251.5,2254.5,2244.875
2023-04-24 22:20:00,2243.5,2245.5,2242.5,2243.5,2242.0,2242.0,2241.0,2242.5,2240.5,2251.5,2254.5,2262.5,2245.9583333333335
2023-04-24 22:25:00,2245.5,2242.5,2243.5,2242.0,2242.0,2241.0,2242.5,2240.5,2251.5,2254.5,2262.5,2258.0,2247.1666666666665
2023-04-24 22:30:00,2242.5,2243.5,2242.0,2242.0,2241.0,2242.5,2240.5,2251.5,2254.5,2262.5,2258.0,2252.5,2247.75
2023-04-24 22:35:00,2243.5,2242.0,2242.0,2241.0,2242.5,2240.5,2251.5,2254.5,2262.5,2258.0,2252.5,2255.0,2248.7916666666665
2023-04-24 22:40:00,2242.0,2242.0,2241.0,2242.5,2240.5,2251.5,2254.5,2262.5,2258.0,2252.5,2255.0,2249.5,2249.2916666666665
2023-04-24 22:45:00,2242.0,2241.0,2242.5,2240.5,2251.5,2254.5,2262.5,2258.0,2252.5,2255.0,2249.5,2248.0,2249.7916666666665
2023-04-24 22:50:00,2241.0,2242.5,2240.5,2251.5,2254.5,2262.5,2258.0,2252.5,2255.0,2249.5,2248.0,2247.0,2250.2083333333335
2023-04-24 22:55:00,2242.5,2240.5,2251.5,2254.5,2262.5,2258.0,2252.5,2255.0,2249.5,2248.0,2247.0,2248.5,2250.8333333333335
2023-04-24 23:00:00,2240.5,2251.5,2254.5,2262.5,2258.0,2252.5,2255.0,2249.5,2248.0,2247.0,2248.5,2250.5,2251.5
2023-04-25 09:00:00,2251.5,2254.5,2262.5,2258.0,2252.5,2255.0,2249.5,2248.0,2247.0,2248.5,2250.5,2249.0,2252.2083333333335
2023-04-25 09:05:00,2254.5,2262.5,2258.0,2252.5,2255.0,2249.5,2248.0,2247.0,2248.5,2250.5,2249.0,2246.0,2251.75
2023-04-25 09:10:00,2262.5,2258.0,2252.5,2255.0,2249.5,2248.0,2247.0,2248.5,2250.5,2249.0,2246.0,2241.0,2250.625
2023-04-25 09:15:00,2258.0,2252.5,2255.0,2249.5,2248.0,2247.0,2248.5,2250.5,2249.0,2246.0,2241.0,2232.5,2248.125
2023-04-25 09:20:00,2252.5,2255.0,2249.5,2248.0,2247.0,2248.5,2250.5,2249.0,2246.0,2241.0,2232.5,2231.0,2245.875
2023-04-25 09:25:00,2255.0,2249.5,2248.0,2247.0,2248.5,2250.5,2249.0,2246.0,2241.0,2232.5,2231.0,2229.0,2243.9166666666665
2023-04-25 09:30:00,2249.5,2248.0,2247.0,2248.5,2250.5,2249.0,2246.0,2241.0,2232.5,2231.0,2229.0,2232.5,2242.0416666666665
2023-04-25 09:35:00,2248.0,2247.0,2248.5,2250.5,2249.0,2246.0,2241.0,2232.5,2231.0,2229.0,2232.5,2223.5,2239.875
2023-04-25 09:40:00,2247.0,2248.5,2250.5,2249.0,2246.0,2241.0,2232.5,2231.0,2229.0,2232.5,2223.5,2225.0,2237.9583333333335
2023-04-25 09:45:00,2248.5,2250.5,2249.0,2246.0,2241.0,2232.5,2231.0,2229.0,2232.5,2223.5,2225.0,2224.5,2236.0833333333335
2023-04-25 09:50:00,2250.5,2249.0,2246.0,2241.0,2232.5,2231.0,2229.0,2232.5,2223.5,2225.0,2224.5,2224.5,2234.0833333333335
2023-04-25 09:55:00,2249.0,2246.0,2241.0,2232.5,2231.0,2229.0,2232.5,2223.5,2225.0,2224.5,2224.5,2229.5,2232.3333333333335
2023-04-25 10:00:00,2246.0,2241.0,2232.5,2231.0,2229.0,2232.5,2223.5,2225.0,2224.5,2224.5,2229.5,2232.5,2230.9583333333335
2023-04-25 10:05:00,2241.0,2232.5,2231.0,2229.0,2232.5,2223.5,2225.0,2224.5,2224.5,2229.5,2232.5,2234.5,2230.0
2023-04-25 10:30:00,2232.5,2231.0,2229.0,2232.5,2223.5,2225.0,2224.5,2224.5,2229.5,2232.5,2234.5,2218.5,2228.125
2023-04-25 10:35:00,2231.0,2229.0,2232.5,2223.5,2225.0,2224.5,2224.5,2229.5,2232.5,2234.5,2218.5,2217.5,2226.875
2023-04-25 10:40:00,2229.0,2232.5,2223.5,2225.0,2224.5,2224.5,2229.5,2232.5,2234.5,2218.5,2217.5,2214.5,2225.5
2023-04-25 10:45:00,2232.5,2223.5,2225.0,2224.5,2224.5,2229.5,2232.5,2234.5,2218.5,2217.5,2214.5,2218.5,2224.625
2023-04-25 10:50:00,2223.5,2225.0,2224.5,2224.5,2229.5,2232.5,2234.5,2218.5,2217.5,2214.5,2218.5,2222.5,2223.7916666666665
2023-04-25 10:55:00,2225.0,2224.5,2224.5,2229.5,2232.5,2234.5,2218.5,2217.5,2214.5,2218.5,2222.5,2221.0,2223.5833333333335
