datetime,open_datetime,close_datetime,open,high,low,close,volume,open_interest,total_turnover,symbol,data_name
2023/5/8 10:45,2023-05-08T10:45:00,2023-05-08T10:50:00,6970,6976,6962,6974,694,144721,24241420,SM2307,SM
2023/5/8 10:50,2023-05-08T10:50:00,2023-05-08T10:55:00,6974,6984,6972,6976,445,144699,15543850,SM2307,SM
2023/5/8 10:55,2023-05-08T10:55:00,2023-05-08T11:00:00,6978,6978,6966,6972,575,144941,19838530,SM2307,SM
2023/5/8 11:00,2023-05-08T11:00:00,2023-05-08T11:05:00,6974,6978,6970,6972,432,144974,15085440,SM2307,SM
2023/5/8 11:05,2023-05-08T11:05:00,2023-05-08T11:10:00,6974,6980,6968,6978,711,145122,24828120,SM2307,SM
2023/5/8 11:10,2023-05-08T11:10:00,2023-05-08T11:15:00,6978,6988,6972,6988,181,145129,6320520,SM2307,SM
2023/5/8 11:15,2023-05-08T11:15:00,2023-05-08T11:20:00,6986,6986,6976,6980,361,145118,12606120,SM2307,SM
2023/5/8 11:20,2023-05-08T11:20:00,2023-05-08T11:25:00,6980,6988,6978,6980,277,145087,9672840,SM2307,SM
2023/5/8 13:30,2023-05-08T13:30:00,2023-05-08T13:35:00,6982,6992,6976,6988,979,145287,34186680,SM2307,SM
2023/5/8 13:35,2023-05-08T13:35:00,2023-05-08T13:40:00,6988,6988,6980,6982,430,145316,15015600,SM2307,SM
2023/5/8 13:40,2023-05-08T13:40:00,2023-05-08T13:45:00,6984,7000,6982,6996,1019,145274,35583480,SM2307,SM
2023/5/8 13:45,2023-05-08T13:45:00,2023-05-08T13:50:00,6994,6994,6984,6988,619,145438,21615480,SM2307,SM
2023/5/8 13:50,2023-05-08T13:50:00,2023-05-08T13:55:00,6988,6998,6986,6992,756,145580,26399520,SM2307,SM
2023/5/8 13:55,2023-05-08T13:55:00,2023-05-08T14:00:00,6996,7000,6988,6998,700,145564,24757080,SM2307,SM
2023/5/8 14:00,2023-05-08T14:00:00,2023-05-08T14:05:00,6996,6998,6992,6998,230,145583,8033900,SM2307,SM
2023/5/8 14:05,2023-05-08T14:05:00,2023-05-08T14:10:00,6998,6998,6990,6992,398,145552,13902140,SM2307,SM
2023/5/8 14:10,2023-05-08T14:10:00,2023-05-08T14:15:00,6994,6994,6990,6992,280,145497,9780400,SM2307,SM
2023/5/8 14:15,2023-05-08T14:15:00,2023-05-08T14:20:00,6990,6992,6986,6992,586,145609,20468980,SM2307,SM
2023/5/8 14:20,2023-05-08T14:20:00,2023-05-08T14:25:00,6992,6994,6990,6994,244,145593,8522920,SM2307,SM
2023/5/8 14:25,2023-05-08T14:25:00,2023-05-08T14:30:00,6994,6994,6990,6992,148,145614,5169640,SM2307,SM
2023/5/8 14:30,2023-05-08T14:30:00,2023-05-08T14:35:00,6992,6996,6992,6996,209,145660,7300370,SM2307,SM
2023/5/8 14:35,2023-05-08T14:35:00,2023-05-08T14:40:00,6996,7014,6994,7012,1193,145954,41671490,SM2307,SM
2023/5/8 14:40,2023-05-08T14:40:00,2023-05-08T14:45:00,7014,7028,7012,7022,1186,146173,41784800,SM2307,SM
2023/5/8 14:45,2023-05-08T14:45:00,2023-05-08T14:50:00,7024,7030,7018,7020,1168,146471,40809920,SM2307,SM
2023/5/8 14:50,2023-05-08T14:50:00,2023-05-08T14:55:00,7022,7032,7016,7016,1411,146887,49683950,SM2307,SM
2023/5/9 9:00,2023-05-09T09:00:00,2023-05-09T09:05:00,7008,7040,6996,7030,5244,148213,184116840,SM2307,SM
2023/5/9 9:05,2023-05-09T09:05:00,2023-05-09T09:10:00,7030,7042,7016,7028,2702,148297,94946680,SM2307,SM
2023/5/9 9:10,2023-05-09T09:10:00,2023-05-09T09:15:00,7026,7034,7018,7018,989,148173,34733680,SM2307,SM
2023/5/9 9:15,2023-05-09T09:15:00,2023-05-09T09:20:00,7020,7020,7010,7012,1357,148176,47657840,SM2307,SM
2023/5/9 9:20,2023-05-09T09:20:00,2023-05-09T09:25:00,7014,7016,6976,6978,1601,148087,55989260,SM2307,SM
