datetime,high,low,close
2023/1/5,4783,4783,4783
2023/1/6,4783,4783,4783
2023/1/9,4783,4783,4783
2023/1/10,4874,4830,4835
2023/1/11,4873,4852,4873
2023/1/12,4914,4840,4875
2023/1/13,4887,4840,4872
2023/1/16,4920,4860,4882
2023/1/17,4882,4842,4842
2023/1/18,4897,4847,4897
2023/1/19,4916,4897,4909
2023/1/20,4940,4902,4940
2023/1/30,4940,4879,4938
2023/1/31,5017,4922,4965
2023/2/1,4974,4906,4906
2023/2/2,4975,4885,4885
2023/2/3,4932,4840,4894
2023/2/6,4894,4785,4852
2023/2/7,4880,4788,4800
2023/2/8,4820,4722,4768
2023/2/9,4819,4720,4780
2023/2/10,4824,4780,4796
2023/2/13,4796,4746,4754
2023/2/14,4754,4682,4682
2023/2/15,4747,4682,4732
2023/2/16,4781,4732,4749
2023/2/17,4800,4749,4777
2023/2/20,4822,4776,4790
2023/2/21,4814,4765,4771
2023/2/22,4916,4780,4916
2023/2/23,4948,4883,4942
2023/2/24,4994,4955,4958
2023/2/27,4974,4930,4969
2023/2/28,4997,4930,4939
2023/3/1,4934,4875,4885
2023/3/2,4985,4886,4945
2023/3/3,4979,4935,4942
2023/3/6,4970,4922,4950
2023/3/7,4966,4872,4888
2023/3/8,4934,4889,4920
2023/3/9,4922,4891,4900
2023/3/10,4908,4842,4907
2023/3/13,4980,4910,4922
2023/3/14,4959,4925,4950
2023/3/15,4979,4931,4949
2023/3/16,4950,4868,4870
2023/3/17,4871,4665,4708
2023/3/20,4745,4675,4711
2023/3/21,4711,4666,4671
2023/3/22,4703,4529,4571
2023/3/23,4555,4513,4545
2023/3/24,4614,4452,4454
2023/3/27,4552,4426,4551
2023/3/28,4595,4510,4569
2023/3/29,4680,4595,4640
2023/3/30,4697,4635,4678
2023/3/31,4696,4633,4656
2023/4/3,4689,4632,4679
2023/4/4,4679,4485,4490
2023/4/6,4530,4452,4518
2023/4/7,4520,4462,4502
2023/4/10,4533,4482,4511
2023/4/11,4535,4482,4513
2023/4/12,4565,4503,4505
2023/4/13,4506,4460,4474
2023/4/14,4477,4416,4431
2023/4/17,4474,4401,4416
2023/4/18,4415,4365,4415
2023/4/19,4486,4404,4438
2023/4/20,4490,4412,4454
2023/4/21,4455,4412,4454
2023/4/24,4445,4412,4430
2023/4/25,4452,4290,4353
2023/4/26,4616,4353,4509
2023/4/27,4599,4405,4545
2023/4/28,4571,4449,4470
2023/5/4,4884,4324,4447
2023/5/5,4476,4476,4476
2023/5/8,4476,4476,4476
2023/5/9,4476,4476,4476
2023/5/10,4353,4202,4247
2023/5/11,4255,4151,4189
2023/5/12,4114,4020,4024
2023/5/15,4117,3990,4080
2023/5/16,4245,4050,4118
2023/5/17,4135,4044,4079
2023/5/18,4169,4043,4162
2023/5/19,4189,4110,4160
2023/5/22,4160,4085,4100
2023/5/23,4101,4012,4020
2023/5/24,4062,4011,4024
2023/5/25,4045,3963,3980
2023/5/26,3978,3861,3892
2023/5/29,4003,3840,3934
2023/5/30,3967,3913,3951
2023/5/31,3978,3890,3920
2023/6/1,3920,3864,3875
2023/6/2,3959,3875,3931
2023/6/5,4013,3911,3987
2023/6/6,4068,3964,4000
2023/6/7,4026,3960,4002
2023/6/8,4012,3923,3951
2023/6/9,4047,3993,4004
2023/6/12,4123,4012,4123
2023/6/13,4140,4077,4118
2023/6/14,4250,4121,4233
2023/6/15,4260,4210,4237
2023/6/16,4256,4204,4248
2023/6/19,4299,4250,4273
2023/6/20,4285,4242,4255
2023/6/21,4267,4198,4225
2023/6/26,4219,4123,4160
2023/6/27,4160,4007,4093
2023/6/28,4214,4093,4196
2023/6/29,4220,4172,4191
2023/6/30,4232,4184,4219
2023/7/3,4274,4220,4234
2023/7/4,4277,4218,4253
2023/7/5,4267,4246,4262
2023/7/6,4270,4214,4222
2023/7/7,4242,4180,4200
2023/7/10,4195,4115,4118
2023/7/11,4140,3727,3968
2023/7/12,4125,3962,4035
2023/7/13,4102,4057,4102
2023/7/14,4130,4075,4098
2023/7/17,4149,4102,4133
2023/7/18,4145,4045,4046
2023/7/19,4100,4042,4089
2023/7/20,4107,4001,4065
2023/7/21,4120,4075,4103
2023/7/24,4103,4040,4087
2023/7/25,4250,4090,4153
2023/7/26,4254,4151,4204
2023/7/27,4320,4185,4300
2023/7/28,4328,4260,4283
2023/7/31,4319,4206,4283
2023/8/1,4363,4292,4327
2023/8/2,4371,4331,4341
2023/8/3,4359,4315,4320
2023/8/4,4295,4233,4244
2023/8/7,4327,4238,4319
2023/8/8,4298,4231,4286
2023/8/9,4310,4237,4261
2023/8/10,4263,4215,4258
2023/8/11,4290,4227,4237
2023/8/14,4262,4203,4230
2023/8/15,4228,4193,4210
2023/8/16,4236,4183,4223
2023/8/17,4223,4187,4213
2023/8/18,4239,4173,4223
2023/8/21,4237,4173,4205
2023/8/22,4198,4122,4138
2023/8/23,4205,4125,4193
2023/8/24,4287,4198,4271
2023/8/25,4397,4259,4372
2023/8/28,4388,4337,4365
2023/8/29,4410,4232,4305
2023/8/30,4345,4282,4331
2023/8/31,4437,4332,4372
2023/9/1,4423,4372,4385
2023/9/4,4488,4386,4454
2023/9/5,4543,4461,4505
2023/9/6,4524,4471,4473
2023/9/7,4488,4406,4485
2023/9/8,4781,4474,4683
2023/9/11,4698,4368,4460
2023/9/12,4499,4252,4389
2023/9/13,4441,4333,4387
2023/9/14,4394,4315,4365
2023/9/15,4364,4340,4351
2023/9/18,4430,4318,4367
2023/9/19,4367,4308,4339
