datetime,open,high,low,close,volume,open_interest
2015-01-05,505.0,520.0,496.0,520.0,935506.0,683318.0
2015-01-06,520.0,521.0,507.0,510.0,1155846.0,683396.0
2015-01-07,510.0,517.0,506.0,512.0,518926.0,708256.0
2015-01-08,512.0,514.0,507.0,511.0,538850.0,692746.0
2015-01-09,510.0,519.0,507.0,515.0,790402.0,672848.0
2015-01-10,515.0,516.0,509.0,510.0,54642.0,658424.0
2015-01-12,508.0,509.0,495.0,500.0,812746.0,597920.0
2015-01-13,501.0,504.0,496.0,501.0,432876.0,596994.0
2015-01-14,500.0,502.0,491.0,497.0,722930.0,568454.0
2015-01-15,497.0,513.0,495.0,506.0,838404.0,588512.0
2015-01-16,506.0,507.0,500.0,502.0,322288.0,569876.0
2015-01-17,501.0,502.0,500.0,500.0,12234.0,567316.0
2015-01-19,501.0,511.0,497.0,505.0,714210.0,538064.0
2015-01-20,504.0,506.0,499.0,502.0,335010.0,523194.0
2015-01-21,501.0,504.0,484.0,491.0,965244.0,487440.0
2015-01-22,491.0,493.0,483.0,484.0,454954.0,476388.0
2015-01-23,484.0,487.0,466.0,473.0,879234.0,490240.0
2015-01-24,473.0,474.0,472.0,474.0,11060.0,489130.0
2015-01-26,474.0,477.0,467.0,471.0,607968.0,462066.0
2015-01-27,471.0,474.0,468.0,469.0,303128.0,468478.0
2015-01-28,470.0,475.0,466.0,474.0,315394.0,453560.0
2015-01-29,474.0,478.0,472.0,475.0,360506.0,440846.0
2015-01-30,475.0,477.0,472.0,474.0,244888.0,435868.0
2015-01-31,474.0,475.0,473.0,474.0,5402.0,434828.0
2015-02-02,474.0,482.0,471.0,479.0,464446.0,468388.0
2015-02-03,479.0,482.0,476.0,479.0,349240.0,506162.0
2015-02-04,479.0,486.0,469.0,477.0,969466.0,530480.0
2015-02-05,477.0,477.0,471.0,476.0,379392.0,483700.0
2015-02-06,475.0,480.0,474.0,477.0,287474.0,473462.0
2015-02-07,477.0,477.0,475.0,476.0,7494.0,474448.0
2015-02-09,476.0,478.0,473.0,477.0,206618.0,467488.0
2015-02-10,477.0,483.0,476.0,480.0,141880.0,454484.0
2015-02-11,480.0,481.0,476.0,477.0,146146.0,442140.0
2015-02-12,477.0,483.0,477.0,480.0,123212.0,425476.0
2015-02-13,480.0,493.0,480.0,491.0,411948.0,408314.0
2015-02-14,491.0,493.0,491.0,493.0,16278.0,411876.0
2015-02-16,493.0,498.0,491.0,495.0,213082.0,376694.0
2015-02-17,495.0,497.0,488.0,494.0,126222.0,373588.0
2015-02-25,490.0,490.0,478.0,481.0,536506.0,359480.0
2015-02-26,481.0,491.0,480.0,488.0,329256.0,344078.0
2015-02-27,488.0,492.0,482.0,483.0,440496.0,385432.0
2015-02-28,483.0,484.0,482.0,483.0,4396.0,383618.0
2015-03-02,485.0,486.0,477.0,484.0,555792.0,366038.0
2015-03-03,485.0,486.0,480.0,483.0,179756.0,361986.0
2015-03-04,483.0,485.0,462.0,466.0,519388.0,386078.0
2015-03-05,466.0,467.0,460.0,463.0,390738.0,380614.0
2015-03-06,463.0,464.0,445.0,449.0,643556.0,362728.0
2015-03-07,449.0,451.0,448.0,451.0,10110.0,362848.0
2015-03-09,451.0,456.0,449.0,454.0,314996.0,374018.0
2015-03-10,454.0,455.0,446.0,449.0,268660.0,397014.0
2015-03-11,449.0,454.0,447.0,452.0,267078.0,393720.0
2015-03-12,452.0,465.0,450.0,460.0,602454.0,384134.0
