datetime,open,high,low,close,volume,open_interest
2015-01-05,736.0,744.0,725.0,743.0,147278.0,167716.0
2015-01-06,743.0,756.0,737.0,740.0,268714.0,170708.0
2015-01-07,740.0,745.0,736.0,740.0,97852.0,166668.0
2015-01-08,740.0,748.0,735.0,738.0,124896.0,172738.0
2015-01-09,738.0,742.0,736.0,738.0,81480.0,164314.0
2015-01-10,738.0,739.0,730.0,733.0,18538.0,164482.0
2015-01-12,732.0,733.0,722.0,725.0,95354.0,169238.0
2015-01-13,725.0,732.0,724.0,729.0,51888.0,166090.0
2015-01-14,729.0,731.0,720.0,724.0,93010.0,164154.0
2015-01-15,724.0,732.0,723.0,728.0,98888.0,165158.0
2015-01-16,728.0,729.0,722.0,724.0,51018.0,164224.0
2015-01-17,724.0,725.0,723.0,725.0,2602.0,163692.0
2015-01-19,725.0,738.0,723.0,727.0,166276.0,149072.0
2015-01-20,727.0,729.0,724.0,727.0,68928.0,146710.0
2015-01-21,727.0,730.0,720.0,727.0,82744.0,150880.0
2015-01-22,727.0,729.0,721.0,722.0,75774.0,158280.0
2015-01-23,723.0,725.0,715.0,719.0,78692.0,161460.0
2015-01-24,718.0,719.0,717.0,719.0,1522.0,161006.0
2015-01-26,718.0,723.0,715.0,720.0,76930.0,155038.0
2015-01-27,720.0,729.0,719.0,724.0,71368.0,142366.0
2015-01-28,724.0,730.0,724.0,728.0,48344.0,143250.0
2015-01-29,728.0,729.0,724.0,728.0,47556.0,137104.0
2015-01-30,728.0,735.0,726.0,729.0,35590.0,133784.0
2015-01-31,729.0,730.0,729.0,729.0,966.0,133866.0
2015-02-02,729.0,738.0,728.0,734.0,48212.0,128674.0
2015-02-03,734.0,738.0,733.0,736.0,29784.0,126076.0
2015-02-04,736.0,742.0,733.0,736.0,55266.0,125376.0
2015-02-05,736.0,737.0,731.0,734.0,30164.0,123330.0
2015-02-06,734.0,741.0,733.0,737.0,43524.0,121092.0
2015-02-07,738.0,738.0,736.0,736.0,686.0,120788.0
2015-02-09,737.0,737.0,729.0,731.0,42982.0,122034.0
2015-02-10,731.0,736.0,731.0,732.0,29628.0,121116.0
