datetime,open,high,low,close,volume,open_interest
2023/3/8,1977,1993.5,1936,1945,53169,80577
2023/3/9,1946,2014.5,1934.5,2007,62682,77692
2023/3/10,1995,2002.5,1957.5,1987.5,54797,75199
2023/3/13,1988,2019.5,1976.5,2010,54612,76468
2023/3/14,2010.5,2015,1948,1953,60081,73463
2023/3/15,1953,1966,1882,1896.5,60642,70466
2023/3/16,1897,1903.5,1850,1886,55409,66673
2023/3/17,1888,1899,1860.5,1867,38622,65429
2023/3/20,1866.5,1889.5,1834.5,1848,44789,65646
2023/3/21,1851,1868,1811,1827,43186,66890
2023/3/22,1827,1842,1812,1839,37147,65166
2023/3/23,1835.5,1856.5,1805,1839,49890,64959
2023/3/24,1833.5,1862.5,1816,1844,42586,62392
2023/3/27,1844,1860,1800,1805,47261,64172
2023/3/28,1808.5,1840.5,1807.5,1826.5,43114,61887
2023/3/29,1827,1847,1815.5,1839.5,36626,59710
2023/3/30,1837,1846.5,1812,1829,40554,57719
2023/3/31,1829,1868,1827.5,1854,46556,55887
2023/4/3,1856,1863,1757,1763.5,59029,57312
2023/4/4,1764,1769.5,1743.5,1758.5,22305,55046
2023/4/6,1751,1768,1730.5,1763.5,42140,51063
2023/4/7,1765,1780,1741,1741,30133,48845
2023/4/10,1740,1740,1677,1702,42304,45627
2023/4/11,1702,1738.5,1691.5,1719,26950,43485
2023/4/12,1718.5,1729.5,1547.5,1551,25923,51698
2023/4/13,1550.5,1566.5,1531,1564.5,36288,55819
2023/4/14,1564,1592,1539.5,1543.5,56270,61761
2023/4/17,1542.5,1590,1523,1587,59828,62425
2023/4/18,1587,1609.5,1570,1598.5,58358,64395
2023/4/19,1598,1614.5,1533.5,1546,62462,70844
2023/4/20,1545,1547.5,1499,1500.5,59138,79508
2023/4/21,1500,1514,1478,1496,59886,79249
2023/4/24,1491,1498,1468,1485.5,58467,81238
2023/4/25,1487.5,1504,1437,1445.5,59147,86951
2023/4/26,1445,1470,1439,1447,60773,89970
2023/4/27,1443,1448.5,1371.5,1383.5,84485,100318
2023/4/28,1385,1394.5,1361,1383.5,42903,100697
2023/5/4,1380,1381,1297.5,1298,114172,125567
2023/5/5,1298,1369,1287.5,1368,167086,129920
2023/5/8,1347,1419,1300.5,1397.5,247224,142913
2023/5/9,1398.5,1403,1337.5,1359.5,189885,152645
2023/5/10,1362.5,1373,1332.5,1340,143624,154217
2023/5/11,1342,1363,1313,1340.5,146794,155721
2023/5/12,1340.5,1387,1332,1378.5,157777,155398
