datetime,open,high,low,close,volume,open_interest
2023/3/13,7390,7412,7328,7360,113794,192944
2023/3/14,7344,7430,7344,7356,127182,181038
2023/3/15,7380,7386,7312,7322,103335,199959
2023/3/16,7288,7300,7214,7262,169437,220767
2023/3/17,7262,7394,7262,7348,150910,188470
2023/3/20,7326,7388,7318,7362,119509,184213
2023/3/21,7362,7380,7322,7334,76923,179744
2023/3/22,7340,7358,7250,7276,128509,192789
2023/3/23,7292,7304,7232,7266,102134,193970
2023/3/24,7252,7388,7226,7338,150238,181454
2023/3/27,7328,7370,7310,7352,124882,163492
2023/3/28,7356,7400,7350,7372,91324,158928
2023/3/29,7376,7390,7188,7224,205154,176402
2023/3/30,7236,7248,7176,7228,107910,190320
2023/3/31,7230,7258,7202,7226,69091,180870
2023/4/3,7254,7266,7196,7212,94415,171135
2023/4/4,7212,7242,7196,7218,69269,163573
2023/4/6,7188,7202,7112,7134,106632,178514
2023/4/7,7156,7172,7122,7130,93981,167367
2023/4/10,7130,7132,7048,7082,85576,165817
2023/4/11,7084,7110,7024,7094,96544,166076
2023/4/12,7100,7188,7090,7148,113068,141030
2023/4/13,7122,7186,7116,7158,81311,115365
2023/4/14,7088,7104,7004,7024,120273,175749
2023/4/17,7026,7028,6910,6942,183167,217375
2023/4/18,6968,7138,6968,7112,176660,194902
2023/4/19,7108,7218,7108,7174,145680,186702
2023/4/20,7136,7184,7116,7128,100757,183678
2023/4/21,7080,7096,6902,6922,214361,204797
2023/4/24,6916,6946,6868,6896,128491,195358
2023/4/25,6910,6966,6864,6880,103442,183178
2023/4/26,6884,6940,6872,6878,105304,162425
2023/4/27,6876,7098,6852,7098,230371,144083
2023/4/28,7150,7182,7112,7170,189056,119341
2023/5/4,7080,7180,7054,7134,120449,100915
2023/5/5,7026,7026,6900,7010,50959,139742
2023/5/8,7054,7080,6944,7016,37953,146887
2023/5/9,7008,7042,6968,6982,31346,150487
2023/5/10,6980,6992,6906,6928,42601,149266
2023/5/11,6874,6954,6860,6910,39507,150327
2023/5/12,6912,6938,6864,6900,46143,152093
2023/5/15,6970,6980,6904,6942,52466,157655
2023/5/16,6906,6958,6830,6840,56360,160034
2023/5/17,6860,6906,6842,6888,44131,154157
2023/5/18,6916,6960,6874,6944,55063,154300
2023/5/19,6900,6912,6850,6860,58627,143447
2023/5/22,6790,6792,6700,6724,114767,187391
2023/5/23,6760,6778,6682,6698,80144,190987
2023/5/24,6688,6718,6648,6674,88408,196766
2023/5/25,6672,6706,6638,6666,60902,200587
2023/5/26,6650,6696,6566,6630,107475,209883
2023/5/29,6680,6730,6642,6690,98402,191207
2023/5/30,6672,6690,6618,6622,63615,195418
2023/5/31,6626,6642,6544,6554,112049,214317
2023/6/1,6590,6612,6558,6578,90223,211722
2023/6/2,6568,6660,6532,6628,125074,195164
2023/6/5,6690,6704,6612,6632,93363,191398
2023/6/6,6650,6680,6568,6646,96504,194309
2023/6/7,6632,6650,6514,6526,117472,217397
2023/6/8,6586,6586,6494,6508,97106,224881
2023/6/9,6540,6640,6538,6568,121913,207567
2023/6/12,6536,6600,6506,6516,100560,216223
2023/6/13,6530,6568,6478,6542,108998,219071
2023/6/14,6560,6626,6528,6548,165464,203763
2023/6/15,6540,6588,6532,6560,88447,203537
2023/6/16,6594,6660,6580,6642,147194,195439
2023/6/19,6658,6744,6652,6652,156856,188180
2023/6/20,6662,6694,6574,6598,115545,186011
2023/6/21,6580,6678,6580,6652,114338,181425
2023/6/26,6622,6638,6538,6570,121807,183647
2023/6/27,6582,6654,6576,6638,96464,182747
2023/6/28,6610,6670,6610,6640,83930,184999
2023/6/29,6626,6666,6612,6650,80583,183419
2023/6/30,6676,6696,6558,6584,158179,178587
2023/7/3,6486,6522,6440,6482,60404,217618
2023/7/4,6512,6532,6444,6506,60874,225671
2023/7/5,6492,6500,6418,6444,46798,242832
2023/7/6,6456,6462,6422,6444,41193,252874
2023/7/7,6440,6614,6430,6530,110347,246088
2023/7/10,6500,6554,6476,6486,69172,242180
