datetime,open,high,low,close,volume,open_interest
2023/3/20,4711,4711,4666,4671,88,46
2023/3/21,4671,4703,4529,4571,70,61
2023/3/22,4555,4555,4513,4545,48,44
2023/3/23,4545,4614,4452,4454,34,49
2023/3/24,4460,4552,4426,4551,30,39
2023/3/27,4550,4595,4510,4569,33,38
2023/3/28,4607,4680,4595,4640,17,40
2023/3/29,4643,4697,4635,4678,74,41
2023/3/30,4678,4696,4633,4656,27,33
2023/3/31,4656,4689,4632,4679,37,36
2023/4/3,4679,4679,4485,4490,96,54
2023/4/4,4467,4530,4452,4518,74,51
2023/4/6,4518,4520,4462,4502,57,51
2023/4/7,4513,4533,4482,4511,35,48
2023/4/10,4511,4535,4482,4513,44,46
2023/4/11,4529,4565,4503,4505,74,40
2023/4/12,4506,4506,4460,4474,13,39
2023/4/13,4474,4477,4416,4431,16,39
2023/4/14,4405,4474,4401,4416,42,36
2023/4/17,4400,4415,4365,4415,14,41
2023/4/18,4410,4486,4404,4438,95,37
2023/4/19,4470,4490,4412,4454,44,32
2023/4/20,4435,4455,4412,4454,17,31
2023/4/21,4445,4445,4412,4430,16,29
2023/4/24,4452,4452,4290,4353,72,26
2023/4/25,4353,4616,4353,4509,295,51
2023/4/26,4450,4599,4405,4545,122,33
2023/4/27,4546,4571,4449,4470,40,26
2023/4/28,4466,4884,4324,4447,207,6
2023/5/4,4476,4476,4476,4476,1,0
2023/5/5,4476,4476,4476,4476,0,0
2023/5/8,4476,4476,4476,4476,0,0
2023/5/9,4350,4353,4202,4247,46,59
2023/5/10,4227,4255,4151,4189,23,68
2023/5/11,4052,4114,4020,4024,53,73
2023/5/12,4002,4117,3990,4080,94,77
2023/5/15,4050,4245,4050,4118,128,77
2023/5/16,4105,4135,4044,4079,44,84
2023/5/17,4057,4169,4043,4162,279,97
2023/5/18,4110,4189,4110,4160,49,157
2023/5/19,4160,4160,4085,4100,46,150
2023/5/22,4070,4101,4012,4020,20,142
2023/5/23,4020,4062,4011,4024,71,130
2023/5/24,4045,4045,3963,3980,42,125
