datetime,true_step_1,true_step_2,true_step_3,true_step_4,true_step_5,true_step_6,true_step_7,true_step_8,true_step_9,true_step_10,true_step_11,true_step_12,true_avg_1hr
2024-08-14 13:40:00,1307.5,1304.5,1304.0,1309.0,1311.0,1306.5,1308.0,1308.5,1307.5,1306.5,1306.5,1305.0,1307.0416666666667
2024-08-14 13:45:00,1304.5,1304.0,1309.0,1311.0,1306.5,1308.0,1308.5,1307.5,1306.5,1306.5,1305.0,1300.0,1306.4166666666667
2024-08-14 13:50:00,1304.0,1309.0,1311.0,1306.5,1308.0,1308.5,1307.5,1306.5,1306.5,1305.0,1300.0,1301.0,1306.125
2024-08-14 13:55:00,1309.0,1311.0,1306.5,1308.0,1308.5,1307.5,1306.5,1306.5,1305.0,1300.0,1301.0,1310.5,1306.6666666666667
2024-08-14 14:00:00,1311.0,1306.5,1308.0,1308.5,1307.5,1306.5,1306.5,1305.0,1300.0,1301.0,1310.5,1323.0,1307.8333333333333
2024-08-14 14:05:00,1306.5,1308.0,1308.5,1307.5,1306.5,1306.5,1305.0,1300.0,1301.0,1310.5,1323.0,1328.5,1309.2916666666667
2024-08-14 14:10:00,1308.0,1308.5,1307.5,1306.5,1306.5,1305.0,1300.0,1301.0,1310.5,1323.0,1328.5,1336.5,1311.7916666666667
2024-08-14 14:15:00,1308.5,1307.5,1306.5,1306.5,1305.0,1300.0,1301.0,1310.5,1323.0,1328.5,1336.5,1336.5,1314.1666666666667
2024-08-14 14:20:00,1307.5,1306.5,1306.5,1305.0,1300.0,1301.0,1310.5,1323.0,1328.5,1336.5,1336.5,1332.0,1316.125
2024-08-14 14:25:00,1306.5,1306.5,1305.0,1300.0,1301.0,1310.5,1323.0,1328.5,1336.5,1336.5,1332.0,1327.0,1317.75
2024-08-14 14:30:00,1306.5,1305.0,1300.0,1301.0,1310.5,1323.0,1328.5,1336.5,1336.5,1332.0,1327.0,1326.5,1319.4166666666667
2024-08-14 14:35:00,1305.0,1300.0,1301.0,1310.5,1323.0,1328.5,1336.5,1336.5,1332.0,1327.0,1326.5,1324.0,1320.875
2024-08-14 14:40:00,1300.0,1301.0,1310.5,1323.0,1328.5,1336.5,1336.5,1332.0,1327.0,1326.5,1324.0,1327.5,1322.75
2024-08-14 14:45:00,1301.0,1310.5,1323.0,1328.5,1336.5,1336.5,1332.0,1327.0,1326.5,1324.0,1327.5,1330.0,1325.25
2024-08-14 14:50:00,1310.5,1323.0,1328.5,1336.5,1336.5,1332.0,1327.0,1326.5,1324.0,1327.5,1330.0,1331.0,1327.75
2024-08-14 21:00:00,1323.0,1328.5,1336.5,1336.5,1332.0,1327.0,1326.5,1324.0,1327.5,1330.0,1331.0,1329.0,1329.2916666666667
2024-08-14 21:05:00,1328.5,1336.5,1336.5,1332.0,1327.0,1326.5,1324.0,1327.5,1330.0,1331.0,1329.0,1329.5,1329.8333333333333
2024-08-14 21:10:00,1336.5,1336.5,1332.0,1327.0,1326.5,1324.0,1327.5,1330.0,1331.0,1329.0,1329.5,1330.5,1330.0
2024-08-14 21:15:00,1336.5,1332.0,1327.0,1326.5,1324.0,1327.5,1330.0,1331.0,1329.0,1329.5,1330.5,1334.0,1329.7916666666667
2024-08-14 21:20:00,1332.0,1327.0,1326.5,1324.0,1327.5,1330.0,1331.0,1329.0,1329.5,1330.5,1334.0,1334.0,1329.5833333333333
2024-08-14 21:25:00,1327.0,1326.5,1324.0,1327.5,1330.0,1331.0,1329.0,1329.5,1330.5,1334.0,1334.0,1333.0,1329.6666666666667
2024-08-14 21:30:00,1326.5,1324.0,1327.5,1330.0,1331.0,1329.0,1329.5,1330.5,1334.0,1334.0,1333.0,1333.0,1330.1666666666667
2024-08-14 21:35:00,1324.0,1327.5,1330.0,1331.0,1329.0,1329.5,1330.5,1334.0,1334.0,1333.0,1333.0,1330.0,1330.4583333333333
2024-08-14 21:40:00,1327.5,1330.0,1331.0,1329.0,1329.5,1330.5,1334.0,1334.0,1333.0,1333.0,1330.0,1330.0,1330.9583333333333
2024-08-14 21:45:00,1330.0,1331.0,1329.0,1329.5,1330.5,1334.0,1334.0,1333.0,1333.0,1330.0,1330.0,1329.5,1331.125
2024-08-14 21:50:00,1331.0,1329.0,1329.5,1330.5,1334.0,1334.0,1333.0,1333.0,1330.0,1330.0,1329.5,1329.5,1331.0833333333333
2024-08-14 21:55:00,1329.0,1329.5,1330.5,1334.0,1334.0,1333.0,1333.0,1330.0,1330.0,1329.5,1329.5,1331.0,1331.0833333333333
2024-08-14 22:00:00,1329.5,1330.5,1334.0,1334.0,1333.0,1333.0,1330.0,1330.0,1329.5,1329.5,1331.0,1330.0,1331.1666666666667
2024-08-14 22:05:00,1330.5,1334.0,1334.0,1333.0,1333.0,1330.0,1330.0,1329.5,1329.5,1331.0,1330.0,1328.0,1331.0416666666667
2024-08-14 22:10:00,1334.0,1334.0,1333.0,1333.0,1330.0,1330.0,1329.5,1329.5,1331.0,1330.0,1328.0,1327.0,1330.75
2024-08-14 22:15:00,1334.0,1333.0,1333.0,1330.0,1330.0,1329.5,1329.5,1331.0,1330.0,1328.0,1327.0,1326.5,1330.125
