datetime,true_step_1,true_step_2,true_step_3,true_step_4,true_step_5,true_step_6,true_step_7,true_step_8,true_step_9,true_step_10,true_step_11,true_step_12,true_avg_1hr
2024-08-15 09:00:00,3096,3075.0,3090.0,3078.0,3087.0,3080.0,3081.0,3078.0,3080.0,3084.0,3085.0,3111.0,3085.4166666666665
2024-08-15 09:05:00,3075,3090.0,3078.0,3087.0,3080.0,3081.0,3078.0,3080.0,3084.0,3085.0,3111.0,3088.0,3084.75
2024-08-15 09:10:00,3090,3078.0,3087.0,3080.0,3081.0,3078.0,3080.0,3084.0,3085.0,3111.0,3088.0,3090.0,3086.0
2024-08-15 09:15:00,3078,3087.0,3080.0,3081.0,3078.0,3080.0,3084.0,3085.0,3111.0,3088.0,3090.0,3105.0,3087.25
2024-08-15 09:20:00,3087,3080.0,3081.0,3078.0,3080.0,3084.0,3085.0,3111.0,3088.0,3090.0,3105.0,3107.0,3089.6666666666665
2024-08-15 09:25:00,3080,3081.0,3078.0,3080.0,3084.0,3085.0,3111.0,3088.0,3090.0,3105.0,3107.0,3109.0,3091.5
2024-08-15 09:30:00,3081,3078.0,3080.0,3084.0,3085.0,3111.0,3088.0,3090.0,3105.0,3107.0,3109.0,3119.0,3094.75
2024-08-15 09:35:00,3078,3080.0,3084.0,3085.0,3111.0,3088.0,3090.0,3105.0,3107.0,3109.0,3119.0,3112.0,3097.3333333333335
2024-08-15 09:40:00,3080,3084.0,3085.0,3111.0,3088.0,3090.0,3105.0,3107.0,3109.0,3119.0,3112.0,3111.0,3100.0833333333335
2024-08-15 09:45:00,3084,3085.0,3111.0,3088.0,3090.0,3105.0,3107.0,3109.0,3119.0,3112.0,3111.0,3119.0,3103.3333333333335
2024-08-15 09:50:00,3085,3111.0,3088.0,3090.0,3105.0,3107.0,3109.0,3119.0,3112.0,3111.0,3119.0,3119.0,3106.25
2024-08-15 09:55:00,3111,3088.0,3090.0,3105.0,3107.0,3109.0,3119.0,3112.0,3111.0,3119.0,3119.0,3119.0,3109.0833333333335
2024-08-15 10:00:00,3088,3090.0,3105.0,3107.0,3109.0,3119.0,3112.0,3111.0,3119.0,3119.0,3119.0,3119.0,3109.75
2024-08-15 10:05:00,3090,3105.0,3107.0,3109.0,3119.0,3112.0,3111.0,3119.0,3119.0,3119.0,3119.0,3105.0,3111.1666666666665
2024-08-15 10:30:00,3105,3107.0,3109.0,3119.0,3112.0,3111.0,3119.0,3119.0,3119.0,3119.0,3105.0,3093.0,3111.4166666666665
2024-08-15 10:35:00,3107,3109.0,3119.0,3112.0,3111.0,3119.0,3119.0,3119.0,3119.0,3105.0,3093.0,3085.0,3109.75
2024-08-15 10:40:00,3109,3119.0,3112.0,3111.0,3119.0,3119.0,3119.0,3119.0,3105.0,3093.0,3085.0,3088.0,3108.1666666666665
2024-08-15 10:45:00,3119,3112.0,3111.0,3119.0,3119.0,3119.0,3119.0,3105.0,3093.0,3085.0,3088.0,3085.0,3106.1666666666665
2024-08-15 10:50:00,3112,3111.0,3119.0,3119.0,3119.0,3119.0,3105.0,3093.0,3085.0,3088.0,3085.0,3091.0,3103.8333333333335
2024-08-15 10:55:00,3111,3119.0,3119.0,3119.0,3119.0,3105.0,3093.0,3085.0,3088.0,3085.0,3091.0,3115.0,3104.0833333333335
2024-08-15 11:00:00,3119,3119.0,3119.0,3119.0,3105.0,3093.0,3085.0,3088.0,3085.0,3091.0,3115.0,3107.0,3103.75
2024-08-15 11:05:00,3119,3119.0,3119.0,3105.0,3093.0,3085.0,3088.0,3085.0,3091.0,3115.0,3107.0,3103.0,3102.4166666666665
2024-08-15 11:10:00,3119,3119.0,3105.0,3093.0,3085.0,3088.0,3085.0,3091.0,3115.0,3107.0,3103.0,3111.0,3101.75
2024-08-15 11:15:00,3119,3105.0,3093.0,3085.0,3088.0,3085.0,3091.0,3115.0,3107.0,3103.0,3111.0,3115.0,3101.4166666666665
2024-08-15 11:20:00,3105,3093.0,3085.0,3088.0,3085.0,3091.0,3115.0,3107.0,3103.0,3111.0,3115.0,3116.0,3101.1666666666665
2024-08-15 13:30:00,3093,3085.0,3088.0,3085.0,3091.0,3115.0,3107.0,3103.0,3111.0,3115.0,3116.0,3106.0,3101.25
2024-08-15 13:35:00,3085,3088.0,3085.0,3091.0,3115.0,3107.0,3103.0,3111.0,3115.0,3116.0,3106.0,3116.0,3103.1666666666665
2024-08-15 13:40:00,3088,3085.0,3091.0,3115.0,3107.0,3103.0,3111.0,3115.0,3116.0,3106.0,3116.0,3107.0,3105.0
2024-08-15 13:45:00,3085,3091.0,3115.0,3107.0,3103.0,3111.0,3115.0,3116.0,3106.0,3116.0,3107.0,3104.0,3106.3333333333335
2024-08-15 13:50:00,3091,3115.0,3107.0,3103.0,3111.0,3115.0,3116.0,3106.0,3116.0,3107.0,3104.0,3104.0,3107.9166666666665
2024-08-15 13:55:00,3115,3107.0,3103.0,3111.0,3115.0,3116.0,3106.0,3116.0,3107.0,3104.0,3104.0,3104.0,3109.0
2024-08-15 14:00:00,3107,3103.0,3111.0,3115.0,3116.0,3106.0,3116.0,3107.0,3104.0,3104.0,3104.0,3138.0,3110.9166666666665
2024-08-15 14:05:00,3103,3111.0,3115.0,3116.0,3106.0,3116.0,3107.0,3104.0,3104.0,3104.0,3138.0,3133.0,3113.0833333333335
2024-08-15 14:10:00,3111,3115.0,3116.0,3106.0,3116.0,3107.0,3104.0,3104.0,3104.0,3138.0,3133.0,3131.0,3115.4166666666665
2024-08-15 14:15:00,3115,3116.0,3106.0,3116.0,3107.0,3104.0,3104.0,3104.0,3138.0,3133.0,3131.0,3126.0,3116.6666666666665
2024-08-15 14:20:00,3116,3106.0,3116.0,3107.0,3104.0,3104.0,3104.0,3138.0,3133.0,3131.0,3126.0,3132.0,3118.0833333333335
2024-08-15 14:25:00,3106,3116.0,3107.0,3104.0,3104.0,3104.0,3138.0,3133.0,3131.0,3126.0,3132.0,3134.0,3119.5833333333335
2024-08-15 14:30:00,3116,3107.0,3104.0,3104.0,3104.0,3138.0,3133.0,3131.0,3126.0,3132.0,3134.0,3140.0,3122.4166666666665
2024-08-15 14:35:00,3107,3104.0,3104.0,3104.0,3138.0,3133.0,3131.0,3126.0,3132.0,3134.0,3140.0,3140.0,3124.4166666666665
2024-08-15 14:40:00,3104,3104.0,3104.0,3138.0,3133.0,3131.0,3126.0,3132.0,3134.0,3140.0,3140.0,3153.0,3128.25
2024-08-15 14:45:00,3104,3104.0,3138.0,3133.0,3131.0,3126.0,3132.0,3134.0,3140.0,3140.0,3153.0,3153.0,3132.3333333333335
2024-08-15 14:50:00,3104,3138.0,3133.0,3131.0,3126.0,3132.0,3134.0,3140.0,3140.0,3153.0,3153.0,3149.0,3136.0833333333335
2024-08-16 09:00:00,3138,3133.0,3131.0,3126.0,3132.0,3134.0,3140.0,3140.0,3153.0,3153.0,3149.0,3152.0,3140.0833333333335
2024-08-16 09:05:00,3133,3131.0,3126.0,3132.0,3134.0,3140.0,3140.0,3153.0,3153.0,3149.0,3152.0,3153.0,3141.3333333333335
2024-08-16 09:10:00,3131,3126.0,3132.0,3134.0,3140.0,3140.0,3153.0,3153.0,3149.0,3152.0,3153.0,3151.0,3142.8333333333335
2024-08-16 09:15:00,3126,3132.0,3134.0,3140.0,3140.0,3153.0,3153.0,3149.0,3152.0,3153.0,3151.0,3143.0,3143.8333333333335
2024-08-16 09:20:00,3132,3134.0,3140.0,3140.0,3153.0,3153.0,3149.0,3152.0,3153.0,3151.0,3143.0,3135.0,3144.5833333333335
2024-08-16 09:25:00,3134,3140.0,3140.0,3153.0,3153.0,3149.0,3152.0,3153.0,3151.0,3143.0,3135.0,3132.0,3144.5833333333335
2024-08-16 09:30:00,3140,3140.0,3153.0,3153.0,3149.0,3152.0,3153.0,3151.0,3143.0,3135.0,3132.0,3128.0,3144.0833333333335
2024-08-16 09:35:00,3140,3153.0,3153.0,3149.0,3152.0,3153.0,3151.0,3143.0,3135.0,3132.0,3128.0,3129.0,3143.1666666666665
2024-08-16 09:40:00,3153,3153.0,3149.0,3152.0,3153.0,3151.0,3143.0,3135.0,3132.0,3128.0,3129.0,3129.0,3142.25
2024-08-16 09:45:00,3153,3149.0,3152.0,3153.0,3151.0,3143.0,3135.0,3132.0,3128.0,3129.0,3129.0,3125.0,3139.9166666666665
2024-08-16 09:50:00,3149,3152.0,3153.0,3151.0,3143.0,3135.0,3132.0,3128.0,3129.0,3129.0,3125.0,3117.0,3136.9166666666665
2024-08-16 09:55:00,3152,3153.0,3151.0,3143.0,3135.0,3132.0,3128.0,3129.0,3129.0,3125.0,3117.0,3108.0,3133.5
2024-08-16 10:00:00,3153,3151.0,3143.0,3135.0,3132.0,3128.0,3129.0,3129.0,3125.0,3117.0,3108.0,3119.0,3130.75
